,id,date,time,zone,currency,importance,event,actual,forecast,previous
0,283314,01/01/1970,09:00,brazil,BRL,low,Auto Production (MoM)  (Dec),8.66%,,
1,164132,01/01/1970,09:00,brazil,BRL,low,Auto Sales (MoM)  (Dec),52.84%,,
2,303893,01/01/1970,09:00,brazil,BRL,low,IGP-DI Inflation Index (MoM)  (Dec),0.29%,,
3,304731,01/01/1970,09:00,brazil,BRL,medium,IPC-Fipe Inflation Index (MoM)  (Dec),1.64%,,
4,114431,01/01/1970,09:00,brazil,BRL,low,Trade Balance  (Dec),0.02B,,
5,283315,01/02/1970,09:00,brazil,BRL,low,Auto Production (MoM)  (Jan),5.69%,,8.66%
6,164133,01/02/1970,09:00,brazil,BRL,low,Auto Sales (MoM)  (Jan),-28.10%,,52.84%
7,303894,01/02/1970,09:00,brazil,BRL,low,IGP-DI Inflation Index (MoM)  (Jan),1.25%,,0.29%
8,304732,01/02/1970,09:00,brazil,BRL,medium,IPC-Fipe Inflation Index (MoM)  (Jan),1.38%,,1.64%
9,114432,01/02/1970,09:00,brazil,BRL,low,Trade Balance  (Jan),0.01B,,0.02B
10,283316,01/03/1970,09:00,brazil,BRL,low,Auto Production (MoM)  (Feb),2.90%,,5.69%
11,164134,01/03/1970,09:00,brazil,BRL,low,Auto Sales (MoM)  (Feb),3.77%,,-28.10%
12,303895,01/03/1970,09:00,brazil,BRL,low,IGP-DI Inflation Index (MoM)  (Feb),1.42%,,1.25%
13,304733,01/03/1970,09:00,brazil,BRL,medium,IPC-Fipe Inflation Index (MoM)  (Feb),1.30%,,1.38%
14,114433,01/03/1970,09:00,brazil,BRL,low,Trade Balance  (Feb),0.03B,,0.01B
15,283317,01/04/1970,09:00,brazil,BRL,low,Auto Production (MoM)  (Mar),13.64%,,2.90%
16,164135,01/04/1970,09:00,brazil,BRL,low,Auto Sales (MoM)  (Mar),14.96%,,3.77%
17,303896,01/04/1970,09:00,brazil,BRL,low,IGP-DI Inflation Index (MoM)  (Mar),1.92%,,1.42%
18,304734,01/04/1970,09:00,brazil,BRL,medium,IPC-Fipe Inflation Index (MoM)  (Mar),1.34%,,1.30%
19,114434,01/04/1970,09:00,brazil,BRL,low,Trade Balance  (Mar),0.00B,,0.03B
20,283318,01/05/1970,09:00,brazil,BRL,low,Auto Production (MoM)  (Apr),6.37%,,13.64%
21,164136,01/05/1970,09:00,brazil,BRL,low,Auto Sales (MoM)  (Apr),12.53%,,14.96%
22,303897,01/05/1970,09:00,brazil,BRL,low,IGP-DI Inflation Index (MoM)  (Apr),0.32%,,1.92%
23,304735,01/05/1970,09:00,brazil,BRL,medium,IPC-Fipe Inflation Index (MoM)  (Apr),1.36%,,1.34%
24,114435,01/05/1970,09:00,brazil,BRL,low,Trade Balance  (Apr),0.07B,,0.00B
25,283319,01/06/1970,09:00,brazil,BRL,low,Auto Production (MoM)  (May),-6.36%,,6.37%
26,164137,01/06/1970,09:00,brazil,BRL,low,Auto Sales (MoM)  (May),-11.77%,,12.53%
27,303898,01/06/1970,09:00,brazil,BRL,low,IGP-DI Inflation Index (MoM)  (May),1.60%,,0.32%
28,304736,01/06/1970,09:00,brazil,BRL,medium,IPC-Fipe Inflation Index (MoM)  (May),0.98%,,1.36%
29,114436,01/06/1970,09:00,brazil,BRL,low,Trade Balance  (May),0.07B,,0.07B
30,283320,01/07/1970,09:00,brazil,BRL,low,Auto Production (MoM)  (Jun),9.20%,,-6.36%
31,164138,01/07/1970,09:00,brazil,BRL,low,Auto Sales (MoM)  (Jun),3.03%,,-11.77%
32,303899,01/07/1970,09:00,brazil,BRL,low,IGP-DI Inflation Index (MoM)  (Jun),2.21%,,1.60%
33,304737,01/07/1970,09:00,brazil,BRL,medium,IPC-Fipe Inflation Index (MoM)  (Jun),1.51%,,0.98%
34,114437,01/07/1970,09:00,brazil,BRL,low,Trade Balance  (Jun),0.05B,,0.07B
35,283321,01/08/1970,09:00,brazil,BRL,low,Auto Production (MoM)  (Jul),1.65%,,9.20%
36,164139,01/08/1970,09:00,brazil,BRL,low,Auto Sales (MoM)  (Jul),3.61%,,3.03%
37,303900,01/08/1970,09:00,brazil,BRL,low,IGP-DI Inflation Index (MoM)  (Jul),1.72%,,2.21%
38,304738,01/08/1970,09:00,brazil,BRL,medium,IPC-Fipe Inflation Index (MoM)  (Jul),0.79%,,1.51%
39,114438,01/08/1970,09:00,brazil,BRL,low,Trade Balance  (Jul),0.06B,,0.05B
40,283322,01/09/1970,09:00,brazil,BRL,low,Auto Production (MoM)  (Aug),-12.53%,,1.65%
41,164140,01/09/1970,09:00,brazil,BRL,low,Auto Sales (MoM)  (Aug),-5.12%,,3.61%
42,303901,01/09/1970,09:00,brazil,BRL,low,IGP-DI Inflation Index (MoM)  (Aug),2.30%,,1.72%
43,304739,01/09/1970,09:00,brazil,BRL,medium,IPC-Fipe Inflation Index (MoM)  (Aug),1.58%,,0.79%
44,114439,01/09/1970,09:00,brazil,BRL,low,Trade Balance  (Aug),0.04B,,0.06B
45,283323,01/10/1970,09:00,brazil,BRL,low,Auto Production (MoM)  (Sep),11.99%,,-12.53%
46,164141,01/10/1970,09:00,brazil,BRL,low,Auto Sales (MoM)  (Sep),9.09%,,-5.12%
47,303902,01/10/1970,09:00,brazil,BRL,low,IGP-DI Inflation Index (MoM)  (Sep),1.99%,,2.30%
48,304740,01/10/1970,09:00,brazil,BRL,medium,IPC-Fipe Inflation Index (MoM)  (Sep),2.42%,,1.58%
49,114440,01/10/1970,09:00,brazil,BRL,low,Trade Balance  (Sep),0.04B,,0.04B
50,283324,01/11/1970,09:00,brazil,BRL,low,Auto Production (MoM)  (Oct),7.94%,,11.99%
51,164142,01/11/1970,09:00,brazil,BRL,low,Auto Sales (MoM)  (Oct),12.24%,,9.09%
52,303903,01/11/1970,09:00,brazil,BRL,low,IGP-DI Inflation Index (MoM)  (Oct),1.49%,,1.99%
53,304741,01/11/1970,09:00,brazil,BRL,medium,IPC-Fipe Inflation Index (MoM)  (Oct),1.15%,,2.42%
54,114441,01/11/1970,09:00,brazil,BRL,low,Trade Balance  (Oct),-0.05B,,0.04B
55,283325,01/12/1970,09:00,brazil,BRL,low,Auto Production (MoM)  (Nov),-0.56%,,7.94%
56,164143,01/12/1970,09:00,brazil,BRL,low,Auto Sales (MoM)  (Nov),1.60%,,12.24%
