,id,date,time,zone,currency,importance,event,actual,forecast,previous
0,63686,01/01/1970,09:00,canada,CAD,medium,Building Permits (MoM)  (Dec),14.20%,,
1,71688,01/01/1970,09:00,canada,CAD,medium,CPI (MoM)  (Dec),1.00%,,
2,159805,01/01/1970,09:00,canada,CAD,low,CPI (YoY)  (Dec),4.70%,,
3,88366,01/01/1970,09:00,canada,CAD,low,IPPI (MoM)  (Dec),1.00%,,
4,160312,01/01/1970,09:00,canada,CAD,low,IPPI (YoY)  (Dec),4.30%,,
5,105087,01/01/1970,09:00,canada,CAD,medium,Unemployment Rate  (Dec),4.50%,,
6,63687,01/02/1970,09:00,canada,CAD,medium,Building Permits (MoM)  (Jan),-18.40%,,14.20%
7,71689,01/02/1970,09:00,canada,CAD,medium,CPI (MoM)  (Jan),0.50%,,1.00%
8,159806,01/02/1970,09:00,canada,CAD,low,CPI (YoY)  (Jan),5.20%,,4.70%
9,160313,01/02/1970,09:00,canada,CAD,low,IPPI (YoY)  (Jan),4.80%,,4.30%
10,88367,01/02/1970,09:00,canada,CAD,low,IPPI (MoM)  (Jan),1.00%,,1.00%
11,105088,01/02/1970,09:00,canada,CAD,medium,Unemployment Rate  (Jan),4.50%,,4.50%
12,63688,01/03/1970,09:00,canada,CAD,medium,Building Permits (MoM)  (Feb),10.50%,,-18.40%
13,159807,01/03/1970,09:00,canada,CAD,low,CPI (YoY)  (Feb),5.20%,,5.20%
14,71690,01/03/1970,09:00,canada,CAD,medium,CPI (MoM)  (Feb),0.00%,,0.50%
15,88368,01/03/1970,09:00,canada,CAD,low,IPPI (MoM)  (Feb),0.00%,,1.00%
16,160314,01/03/1970,09:00,canada,CAD,low,IPPI (YoY)  (Feb),3.70%,,4.80%
17,105089,01/03/1970,09:00,canada,CAD,medium,Unemployment Rate  (Feb),4.90%,,4.50%
18,63689,01/04/1970,09:00,canada,CAD,medium,Building Permits (MoM)  (Mar),-19.30%,,10.50%
19,159808,01/04/1970,09:00,canada,CAD,low,CPI (YoY)  (Mar),4.70%,,5.20%
20,71691,01/04/1970,09:00,canada,CAD,medium,CPI (MoM)  (Mar),0.00%,,0.00%
21,160315,01/04/1970,09:00,canada,CAD,low,IPPI (YoY)  (Mar),3.70%,,3.70%
22,88369,01/04/1970,09:00,canada,CAD,low,IPPI (MoM)  (Mar),0.50%,,0.00%
23,105090,01/04/1970,09:00,canada,CAD,medium,Unemployment Rate  (Mar),5.20%,,4.90%
24,63690,01/05/1970,09:00,canada,CAD,medium,Building Permits (MoM)  (Apr),4.80%,,-19.30%
25,159809,01/05/1970,09:00,canada,CAD,low,CPI (YoY)  (Apr),3.60%,,4.70%
26,71692,01/05/1970,09:00,canada,CAD,medium,CPI (MoM)  (Apr),0.50%,,0.00%
27,160316,01/05/1970,09:00,canada,CAD,low,IPPI (YoY)  (Apr),3.70%,,3.70%
28,88370,01/05/1970,09:00,canada,CAD,low,IPPI (MoM)  (Apr),0.00%,,0.50%
29,105091,01/05/1970,09:00,canada,CAD,medium,Unemployment Rate  (Apr),5.40%,,5.20%
