,id,date,time,zone,currency,importance,event,actual,forecast,previous
0,120553,01/02/1981,10:00,china,CNY,medium,Trade Balance (USD)  (Jan),-0.22B,,
1,120554,01/03/1981,10:00,china,CNY,medium,Trade Balance (USD)  (Feb),-0.49B,,-0.22B
2,120555,01/04/1981,10:00,china,CNY,medium,Trade Balance (USD)  (Mar),-0.74B,,-0.49B
3,120556,01/05/1981,10:00,china,CNY,medium,Trade Balance (USD)  (Apr),-0.48B,,-0.74B
4,120557,01/06/1981,10:00,china,CNY,medium,Trade Balance (USD)  (May),-0.54B,,-0.48B
5,120558,01/07/1981,10:00,china,CNY,medium,Trade Balance (USD)  (Jun),-0.09B,,-0.54B
6,120559,01/08/1981,10:00,china,CNY,medium,Trade Balance (USD)  (Jul),0.51B,,-0.09B
7,120560,01/09/1981,10:00,china,CNY,medium,Trade Balance (USD)  (Aug),0.12B,,0.51B
8,120561,01/10/1981,10:00,china,CNY,medium,Trade Balance (USD)  (Sep),0.47B,,0.12B
9,120562,01/11/1981,10:00,china,CNY,medium,Trade Balance (USD)  (Oct),0.66B,,0.47B
10,120563,01/12/1981,10:00,china,CNY,medium,Trade Balance (USD)  (Nov),0.22B,,0.66B
11,120564,01/01/1982,10:00,china,CNY,medium,Trade Balance (USD)  (Dec),0.56B,,0.22B
12,136222,01/02/1982,10:00,china,CNY,medium,Exports (YoY)  (Jan),8.70%,,
13,120565,01/02/1982,10:00,china,CNY,medium,Trade Balance (USD)  (Jan),0.29B,,0.56B
14,136223,01/03/1982,10:00,china,CNY,medium,Exports (YoY)  (Feb),23.20%,,8.70%
15,120566,01/03/1982,10:00,china,CNY,medium,Trade Balance (USD)  (Feb),0.12B,,0.29B
16,136224,01/04/1982,10:00,china,CNY,medium,Exports (YoY)  (Mar),12.20%,,23.20%
17,120567,01/04/1982,10:00,china,CNY,medium,Trade Balance (USD)  (Mar),0.35B,,0.12B
18,136225,01/05/1982,10:00,china,CNY,medium,Exports (YoY)  (Apr),-2.50%,,12.20%
19,120568,01/05/1982,10:00,china,CNY,medium,Trade Balance (USD)  (Apr),-0.16B,,0.35B
20,136226,01/06/1982,10:00,china,CNY,medium,Exports (YoY)  (May),41.50%,,-2.50%
21,120569,01/06/1982,10:00,china,CNY,medium,Trade Balance (USD)  (May),0.23B,,-0.16B
22,136227,01/07/1982,10:00,china,CNY,medium,Exports (YoY)  (Jun),0.80%,,41.50%
23,120570,01/07/1982,10:00,china,CNY,medium,Trade Balance (USD)  (Jun),0.26B,,0.23B
24,136228,01/08/1982,10:00,china,CNY,medium,Exports (YoY)  (Jul),-12.00%,,0.80%
25,120571,01/08/1982,10:00,china,CNY,medium,Trade Balance (USD)  (Jul),0.27B,,0.26B
26,136229,01/09/1982,10:00,china,CNY,medium,Exports (YoY)  (Aug),-14.10%,,-12.00%
27,120572,01/09/1982,10:00,china,CNY,medium,Trade Balance (USD)  (Aug),0.25B,,0.27B
28,136230,01/10/1982,10:00,china,CNY,medium,Exports (YoY)  (Sep),-3.90%,,-14.10%
29,120573,01/10/1982,10:00,china,CNY,medium,Trade Balance (USD)  (Sep),0.38B,,0.25B
30,136231,01/11/1982,10:00,china,CNY,medium,Exports (YoY)  (Oct),-17.50%,,-3.90%
31,120574,01/11/1982,10:00,china,CNY,medium,Trade Balance (USD)  (Oct),0.11B,,0.38B
32,136232,01/12/1982,10:00,china,CNY,medium,Exports (YoY)  (Nov),-9.90%,,-17.50%
33,120575,01/12/1982,10:00,china,CNY,medium,Trade Balance (USD)  (Nov),0.32B,,0.11B
34,136233,01/01/1983,10:00,china,CNY,medium,Exports (YoY)  (Dec),-5.10%,,-9.90%
35,120576,01/01/1983,10:00,china,CNY,medium,Trade Balance (USD)  (Dec),0.56B,,0.32B
36,136234,01/02/1983,10:00,china,CNY,medium,Exports (YoY)  (Jan),-11.80%,,-5.10%
37,120577,01/02/1983,10:00,china,CNY,medium,Trade Balance (USD)  (Jan),-0.06B,,0.56B
38,136235,01/03/1983,10:00,china,CNY,medium,Exports (YoY)  (Feb),-21.90%,,-11.80%
39,120578,01/03/1983,10:00,china,CNY,medium,Trade Balance (USD)  (Feb),-0.14B,,-0.06B
40,136236,01/04/1983,10:00,china,CNY,medium,Exports (YoY)  (Mar),-7.40%,,-21.90%
41,120579,01/04/1983,10:00,china,CNY,medium,Trade Balance (USD)  (Mar),0.14B,,-0.14B
42,136237,01/05/1983,10:00,china,CNY,medium,Exports (YoY)  (Apr),2.00%,,-7.40%
43,120580,01/05/1983,10:00,china,CNY,medium,Trade Balance (USD)  (Apr),-0.07B,,0.14B
44,136238,01/06/1983,10:00,china,CNY,medium,Exports (YoY)  (May),6.90%,,2.00%
45,120581,01/06/1983,10:00,china,CNY,medium,Trade Balance (USD)  (May),0.29B,,-0.07B
46,136239,01/07/1983,10:00,china,CNY,medium,Exports (YoY)  (Jun),-3.10%,,6.90%
47,120582,01/07/1983,10:00,china,CNY,medium,Trade Balance (USD)  (Jun),0.36B,,0.29B
48,136240,01/08/1983,10:00,china,CNY,medium,Exports (YoY)  (Jul),20.80%,,-3.10%
49,120583,01/08/1983,10:00,china,CNY,medium,Trade Balance (USD)  (Jul),0.44B,,0.36B
50,136241,01/09/1983,10:00,china,CNY,medium,Exports (YoY)  (Aug),19.90%,,20.80%
51,120584,01/09/1983,10:00,china,CNY,medium,Trade Balance (USD)  (Aug),0.22B,,0.44B
52,136242,01/10/1983,10:00,china,CNY,medium,Exports (YoY)  (Sep),-15.80%,,19.90%
