,id,date,time,zone,currency,importance,event,actual,forecast,previous
0,79645,01/01/1970,10:00,germany,EUR,medium,German CPI (MoM)  (Dec),0.00%,,
1,158449,01/01/1970,10:00,germany,EUR,low,German CPI (YoY)  (Dec),1.90%,,
2,272174,01/01/1970,10:00,germany,EUR,low,German Exports (MoM)  (Dec),-6.00%,,
3,80102,01/01/1970,10:00,germany,EUR,medium,German Factory Orders (MoM)  (Dec),-1.80%,,
4,80667,01/01/1970,10:00,germany,EUR,low,German Import Price Index (MoM)  (Dec),1.20%,,
5,302934,01/01/1970,10:00,germany,EUR,low,German Import Price Index (YoY)  (Dec),0.00%,,
6,272711,01/01/1970,10:00,germany,EUR,low,German Imports (MoM)  (Dec),-1.20%,,
7,159092,01/01/1970,10:00,germany,EUR,low,German PPI (YoY)  (Dec),4.40%,,
8,81328,01/01/1970,10:00,germany,EUR,medium,German PPI (MoM)  (Dec),0.50%,,
9,81952,01/01/1970,10:00,germany,EUR,medium,German Trade Balance  (Dec),0.60B,,
10,82603,01/01/1970,10:00,germany,EUR,low,German WPI (MoM)  (Dec),0.20%,,
11,239194,01/01/1970,10:00,germany,EUR,low,German WPI (YoY)  (Dec),3.10%,,
12,158450,01/02/1970,10:00,germany,EUR,low,German CPI (YoY)  (Jan),2.60%,,1.90%
13,79646,01/02/1970,10:00,germany,EUR,medium,German CPI (MoM)  (Jan),1.30%,,0.00%
14,272175,01/02/1970,10:00,germany,EUR,low,German Exports (MoM)  (Jan),2.13%,,-6.00%
15,80103,01/02/1970,10:00,germany,EUR,medium,German Factory Orders (MoM)  (Jan),-0.70%,,-1.80%
16,80668,01/02/1970,10:00,germany,EUR,low,German Import Price Index (MoM)  (Jan),0.20%,,1.20%
17,302935,01/02/1970,10:00,germany,EUR,low,German Import Price Index (YoY)  (Jan),-0.50%,,0.00%
18,272712,01/02/1970,10:00,germany,EUR,low,German Imports (MoM)  (Jan),11.00%,,-1.20%
19,81329,01/02/1970,10:00,germany,EUR,medium,German PPI (MoM)  (Jan),1.00%,,0.50%
20,159093,01/02/1970,10:00,germany,EUR,low,German PPI (YoY)  (Jan),5.10%,,4.40%
21,81953,01/02/1970,10:00,germany,EUR,medium,German Trade Balance  (Jan),0.30B,,0.60B
22,239195,01/02/1970,10:00,germany,EUR,low,German WPI (YoY)  (Jan),3.80%,,3.10%
23,82604,01/02/1970,10:00,germany,EUR,low,German WPI (MoM)  (Jan),1.20%,,0.20%
24,79647,01/03/1970,10:00,germany,EUR,medium,German CPI (MoM)  (Feb),0.60%,,1.30%
25,158451,01/03/1970,10:00,germany,EUR,low,German CPI (YoY)  (Feb),2.90%,,2.60%
26,272176,01/03/1970,10:00,germany,EUR,low,German Exports (MoM)  (Feb),1.04%,,2.13%
27,80104,01/03/1970,10:00,germany,EUR,medium,German Factory Orders (MoM)  (Feb),2.30%,,-0.70%
28,80669,01/03/1970,10:00,germany,EUR,low,German Import Price Index (MoM)  (Feb),0.50%,,0.20%
29,302936,01/03/1970,10:00,germany,EUR,low,German Import Price Index (YoY)  (Feb),-0.50%,,-0.50%
30,272713,01/03/1970,10:00,germany,EUR,low,German Imports (MoM)  (Feb),-8.80%,,11.00%
31,81330,01/03/1970,10:00,germany,EUR,medium,German PPI (MoM)  (Feb),0.50%,,1.00%
32,159094,01/03/1970,10:00,germany,EUR,low,German PPI (YoY)  (Feb),5.70%,,5.10%
33,81954,01/03/1970,10:00,germany,EUR,medium,German Trade Balance  (Feb),0.80B,,0.30B
34,239196,01/03/1970,10:00,germany,EUR,low,German WPI (YoY)  (Feb),3.50%,,3.80%
35,82605,01/03/1970,10:00,germany,EUR,low,German WPI (MoM)  (Feb),0.00%,,1.20%
36,79648,01/04/1970,10:00,germany,EUR,medium,German CPI (MoM)  (Mar),-0.30%,,0.60%
37,158452,01/04/1970,10:00,germany,EUR,low,German CPI (YoY)  (Mar),2.90%,,2.90%
38,272177,01/04/1970,10:00,germany,EUR,low,German Exports (MoM)  (Mar),7.22%,,1.04%
39,80105,01/04/1970,10:00,germany,EUR,medium,German Factory Orders (MoM)  (Mar),-1.10%,,2.30%
40,80670,01/04/1970,10:00,germany,EUR,low,German Import Price Index (MoM)  (Mar),0.50%,,0.50%
41,302937,01/04/1970,10:00,germany,EUR,low,German Import Price Index (YoY)  (Mar),-0.40%,,-0.50%
42,272714,01/04/1970,10:00,germany,EUR,low,German Imports (MoM)  (Mar),8.40%,,-8.80%
43,159095,01/04/1970,10:00,germany,EUR,low,German PPI (YoY)  (Mar),5.90%,,5.70%
44,81331,01/04/1970,10:00,germany,EUR,medium,German PPI (MoM)  (Mar),0.20%,,0.50%
45,81955,01/04/1970,10:00,germany,EUR,medium,German Trade Balance  (Mar),0.70B,,0.80B
46,82606,01/04/1970,10:00,germany,EUR,low,German WPI (MoM)  (Mar),0.50%,,0.00%
47,239197,01/04/1970,10:00,germany,EUR,low,German WPI (YoY)  (Mar),4.00%,,3.50%
48,158453,01/05/1970,10:00,germany,EUR,low,German CPI (YoY)  (Apr),3.20%,,2.90%
49,79649,01/05/1970,10:00,germany,EUR,medium,German CPI (MoM)  (Apr),0.90%,,-0.30%
50,272178,01/05/1970,10:00,germany,EUR,low,German Exports (MoM)  (Apr),-4.81%,,7.22%
51,80106,01/05/1970,10:00,germany,EUR,medium,German Factory Orders (MoM)  (Apr),-5.60%,,-1.10%
52,80671,01/05/1970,10:00,germany,EUR,low,German Import Price Index (MoM)  (Apr),0.00%,,0.50%
53,302938,01/05/1970,10:00,germany,EUR,low,German Import Price Index (YoY)  (Apr),-1.10%,,-0.40%
54,272715,01/05/1970,10:00,germany,EUR,low,German Imports (MoM)  (Apr),-2.20%,,8.40%
55,81332,01/05/1970,10:00,germany,EUR,medium,German PPI (MoM)  (Apr),0.20%,,0.20%
56,159096,01/05/1970,10:00,germany,EUR,low,German PPI (YoY)  (Apr),5.90%,,5.90%
57,81956,01/05/1970,10:00,germany,EUR,medium,German Trade Balance  (Apr),0.60B,,0.70B
58,82607,01/05/1970,10:00,germany,EUR,low,German WPI (MoM)  (Apr),0.20%,,0.50%
59,239198,01/05/1970,10:00,germany,EUR,low,German WPI (YoY)  (Apr),3.50%,,4.00%
60,158454,01/06/1970,10:00,germany,EUR,low,German CPI (YoY)  (May),3.20%,,3.20%
61,79650,01/06/1970,10:00,germany,EUR,medium,German CPI (MoM)  (May),0.00%,,0.90%
62,272179,01/06/1970,10:00,germany,EUR,low,German Exports (MoM)  (May),6.06%,,-4.81%
63,80107,01/06/1970,10:00,germany,EUR,medium,German Factory Orders (MoM)  (May),3.10%,,-5.60%
64,80672,01/06/1970,10:00,germany,EUR,low,German Import Price Index (MoM)  (May),-0.50%,,0.00%
65,302939,01/06/1970,10:00,germany,EUR,low,German Import Price Index (YoY)  (May),-1.60%,,-1.10%
66,272716,01/06/1970,10:00,germany,EUR,low,German Imports (MoM)  (May),4.50%,,-2.20%
67,81333,01/06/1970,10:00,germany,EUR,medium,German PPI (MoM)  (May),-0.20%,,0.20%
68,159097,01/06/1970,10:00,germany,EUR,low,German PPI (YoY)  (May),5.40%,,5.90%
69,81957,01/06/1970,10:00,germany,EUR,medium,German Trade Balance  (May),0.60B,,0.60B
70,239199,01/06/1970,10:00,germany,EUR,low,German WPI (YoY)  (May),3.50%,,3.50%
71,82608,01/06/1970,10:00,germany,EUR,low,German WPI (MoM)  (May),0.20%,,0.20%
72,79651,01/07/1970,10:00,germany,EUR,medium,German CPI (MoM)  (Jun),0.30%,,0.00%
73,158455,01/07/1970,10:00,germany,EUR,low,German CPI (YoY)  (Jun),3.50%,,3.20%
74,272180,01/07/1970,10:00,germany,EUR,low,German Exports (MoM)  (Jun),0.00%,,6.06%
75,80108,01/07/1970,10:00,germany,EUR,medium,German Factory Orders (MoM)  (Jun),-1.40%,,3.10%
76,80673,01/07/1970,10:00,germany,EUR,low,German Import Price Index (MoM)  (Jun),-0.90%,,-0.50%
77,302940,01/07/1970,10:00,germany,EUR,low,German Import Price Index (YoY)  (Jun),-2.40%,,-1.60%
78,272717,01/07/1970,10:00,germany,EUR,low,German Imports (MoM)  (Jun),-2.20%,,4.50%
79,159098,01/07/1970,10:00,germany,EUR,low,German PPI (YoY)  (Jun),5.40%,,5.40%
80,81334,01/07/1970,10:00,germany,EUR,medium,German PPI (MoM)  (Jun),0.20%,,-0.20%
81,81958,01/07/1970,10:00,germany,EUR,medium,German Trade Balance  (Jun),0.80B,,0.60B
82,82609,01/07/1970,10:00,germany,EUR,low,German WPI (MoM)  (Jun),-0.20%,,0.20%
83,239200,01/07/1970,10:00,germany,EUR,low,German WPI (YoY)  (Jun),2.70%,,3.50%
84,79652,01/08/1970,10:00,germany,EUR,medium,German CPI (MoM)  (Jul),-1.20%,,0.30%
85,158456,01/08/1970,10:00,germany,EUR,low,German CPI (YoY)  (Jul),3.20%,,3.50%
86,272181,01/08/1970,10:00,germany,EUR,low,German Exports (MoM)  (Jul),3.81%,,0.00%
87,80109,01/08/1970,10:00,germany,EUR,medium,German Factory Orders (MoM)  (Jul),1.40%,,-1.40%
88,80674,01/08/1970,10:00,germany,EUR,low,German Import Price Index (MoM)  (Jul),0.00%,,-0.90%
89,302941,01/08/1970,10:00,germany,EUR,low,German Import Price Index (YoY)  (Jul),-2.40%,,-2.40%
90,272718,01/08/1970,10:00,germany,EUR,low,German Imports (MoM)  (Jul),2.20%,,-2.20%
91,159099,01/08/1970,10:00,germany,EUR,low,German PPI (YoY)  (Jul),5.10%,,5.40%
92,81335,01/08/1970,10:00,germany,EUR,medium,German PPI (MoM)  (Jul),0.00%,,0.20%
93,81959,01/08/1970,10:00,germany,EUR,medium,German Trade Balance  (Jul),0.90B,,0.80B
94,82610,01/08/1970,10:00,germany,EUR,low,German WPI (MoM)  (Jul),0.00%,,-0.20%
95,239201,01/08/1970,10:00,germany,EUR,low,German WPI (YoY)  (Jul),2.70%,,2.70%
96,79653,01/09/1970,10:00,germany,EUR,medium,German CPI (MoM)  (Aug),0.90%,,-1.20%
97,158457,01/09/1970,10:00,germany,EUR,low,German CPI (YoY)  (Aug),3.80%,,3.20%
98,272182,01/09/1970,10:00,germany,EUR,low,German Exports (MoM)  (Aug),-2.75%,,3.81%
99,80110,01/09/1970,10:00,germany,EUR,medium,German Factory Orders (MoM)  (Aug),0.70%,,1.40%
100,80675,01/09/1970,10:00,germany,EUR,low,German Import Price Index (MoM)  (Aug),-0.50%,,0.00%
101,302942,01/09/1970,10:00,germany,EUR,low,German Import Price Index (YoY)  (Aug),-2.90%,,-2.40%
102,272719,01/09/1970,10:00,germany,EUR,low,German Imports (MoM)  (Aug),1.10%,,2.20%
103,159100,01/09/1970,10:00,germany,EUR,low,German PPI (YoY)  (Aug),5.10%,,5.10%
104,81336,01/09/1970,10:00,germany,EUR,medium,German PPI (MoM)  (Aug),0.50%,,0.00%
105,81960,01/09/1970,10:00,germany,EUR,medium,German Trade Balance  (Aug),0.60B,,0.90B
106,239202,01/09/1970,10:00,germany,EUR,low,German WPI (YoY)  (Aug),2.50%,,2.70%
107,82611,01/09/1970,10:00,germany,EUR,low,German WPI (MoM)  (Aug),-0.20%,,0.00%
108,79654,01/10/1970,10:00,germany,EUR,medium,German CPI (MoM)  (Sep),-0.30%,,0.90%
109,158458,01/10/1970,10:00,germany,EUR,low,German CPI (YoY)  (Sep),3.80%,,3.80%
110,272183,01/10/1970,10:00,germany,EUR,low,German Exports (MoM)  (Sep),-0.94%,,-2.75%
111,80111,01/10/1970,10:00,germany,EUR,medium,German Factory Orders (MoM)  (Sep),-0.70%,,0.70%
112,80676,01/10/1970,10:00,germany,EUR,low,German Import Price Index (MoM)  (Sep),0.50%,,-0.50%
113,302943,01/10/1970,10:00,germany,EUR,low,German Import Price Index (YoY)  (Sep),-2.40%,,-2.90%
114,272720,01/10/1970,10:00,germany,EUR,low,German Imports (MoM)  (Sep),1.10%,,1.10%
115,159101,01/10/1970,10:00,germany,EUR,low,German PPI (YoY)  (Sep),5.10%,,5.10%
116,81337,01/10/1970,10:00,germany,EUR,medium,German PPI (MoM)  (Sep),0.20%,,0.50%
117,81961,01/10/1970,10:00,germany,EUR,medium,German Trade Balance  (Sep),0.60B,,0.60B
118,239203,01/10/1970,10:00,germany,EUR,low,German WPI (YoY)  (Sep),2.20%,,2.50%
119,82612,01/10/1970,10:00,germany,EUR,low,German WPI (MoM)  (Sep),0.00%,,-0.20%
120,158459,01/11/1970,10:00,germany,EUR,low,German CPI (YoY)  (Oct),3.80%,,3.80%
121,79655,01/11/1970,10:00,germany,EUR,medium,German CPI (MoM)  (Oct),0.60%,,-0.30%
122,272184,01/11/1970,10:00,germany,EUR,low,German Exports (MoM)  (Oct),1.90%,,-0.94%
123,80112,01/11/1970,10:00,germany,EUR,medium,German Factory Orders (MoM)  (Oct),-2.80%,,-0.70%
124,80677,01/11/1970,10:00,germany,EUR,low,German Import Price Index (MoM)  (Oct),0.20%,,0.50%
125,302944,01/11/1970,10:00,germany,EUR,low,German Import Price Index (YoY)  (Oct),0.70%,,-2.40%
126,272721,01/11/1970,10:00,germany,EUR,low,German Imports (MoM)  (Oct),-1.10%,,1.10%
127,81338,01/11/1970,10:00,germany,EUR,medium,German PPI (MoM)  (Oct),0.20%,,0.20%
128,159102,01/11/1970,10:00,germany,EUR,low,German PPI (YoY)  (Oct),4.50%,,5.10%
129,81962,01/11/1970,10:00,germany,EUR,medium,German Trade Balance  (Oct),0.70B,,0.60B
130,82613,01/11/1970,10:00,germany,EUR,low,German WPI (MoM)  (Oct),0.00%,,0.00%
131,239204,01/11/1970,10:00,germany,EUR,low,German WPI (YoY)  (Oct),2.20%,,2.20%
