,id,date,time,zone,currency,importance,event,actual,forecast,previous
0,271082,01/02/1970,09:00,france,EUR,low,French Exports  (Jan),1.18B,,
1,271618,01/02/1970,09:00,france,EUR,low,French Imports  (Jan),1.21B,,
2,79056,01/02/1970,09:00,france,EUR,low,French Trade Balance  (Jan),0.00B,,
3,271083,01/03/1970,09:00,france,EUR,low,French Exports  (Feb),1.25B,,1.18B
4,271619,01/03/1970,09:00,france,EUR,low,French Imports  (Feb),1.20B,,1.21B
5,79057,01/03/1970,09:00,france,EUR,low,French Trade Balance  (Feb),0.00B,,0.00B
6,271084,01/04/1970,09:00,france,EUR,low,French Exports  (Mar),1.28B,,1.25B
7,271620,01/04/1970,09:00,france,EUR,low,French Imports  (Mar),1.20B,,1.20B
8,79058,01/04/1970,09:00,france,EUR,low,French Trade Balance  (Mar),0.10B,,0.00B
9,271085,01/05/1970,09:00,france,EUR,low,French Exports  (Apr),1.27B,,1.28B
10,271621,01/05/1970,09:00,france,EUR,low,French Imports  (Apr),1.27B,,1.20B
11,79059,01/05/1970,09:00,france,EUR,low,French Trade Balance  (Apr),0.00B,,0.10B
12,271086,01/06/1970,09:00,france,EUR,low,French Exports  (May),1.17B,,1.27B
13,271622,01/06/1970,09:00,france,EUR,low,French Imports  (May),1.15B,,1.27B
14,79060,01/06/1970,09:00,france,EUR,low,French Trade Balance  (May),0.00B,,0.00B
15,271087,01/07/1970,09:00,france,EUR,low,French Exports  (Jun),1.30B,,1.17B
16,271623,01/07/1970,09:00,france,EUR,low,French Imports  (Jun),1.30B,,1.15B
17,79061,01/07/1970,09:00,france,EUR,low,French Trade Balance  (Jun),0.00B,,0.00B
18,271088,01/08/1970,09:00,france,EUR,low,French Exports  (Jul),1.26B,,1.30B
19,271624,01/08/1970,09:00,france,EUR,low,French Imports  (Jul),1.26B,,1.30B
20,79062,01/08/1970,09:00,france,EUR,low,French Trade Balance  (Jul),0.00B,,0.00B
21,271089,01/09/1970,09:00,france,EUR,low,French Exports  (Aug),1.29B,,1.26B
22,271625,01/09/1970,09:00,france,EUR,low,French Imports  (Aug),1.32B,,1.26B
23,79063,01/09/1970,09:00,france,EUR,low,French Trade Balance  (Aug),0.00B,,0.00B
24,271090,01/10/1970,09:00,france,EUR,low,French Exports  (Sep),1.31B,,1.29B
