,id,date,time,zone,currency,importance,event,actual,forecast,previous
0,85590,01/01/1970,09:00,united kingdom,GBP,medium,Industrial Production (MoM)  (Dec),0.80%,,
1,156897,01/01/1970,09:00,united kingdom,GBP,low,Industrial Production (YoY)  (Dec),2.60%,,
2,87573,01/01/1970,09:00,united kingdom,GBP,high,BoE Interest Rate Decision  (Dec),8.00%,,
3,92114,01/01/1970,09:00,united kingdom,GBP,high,Manufacturing Production (MoM)  (Dec),0.60%,,
4,178848,01/01/1970,09:00,united kingdom,GBP,low,Manufacturing Production (YoY)  (Dec),2.40%,,
5,156207,01/01/1970,09:00,united kingdom,GBP,low,PPI Output (YoY)  (Dec),3.40%,,
6,96718,01/01/1970,09:00,united kingdom,GBP,low,PPI Output (MoM)  (Dec),0.00%,,
7,99679,01/01/1970,09:00,united kingdom,GBP,low,RPI (YoY)  (Dec),4.70%,,
8,180229,01/01/1970,09:00,united kingdom,GBP,low,RPI (MoM)  (Dec),0.70%,,
9,156898,01/02/1970,09:00,united kingdom,GBP,low,Industrial Production (YoY)  (Jan),-0.40%,,2.60%
10,85591,01/02/1970,09:00,united kingdom,GBP,medium,Industrial Production (MoM)  (Jan),-2.60%,,0.80%
11,87574,01/02/1970,09:00,united kingdom,GBP,high,BoE Interest Rate Decision  (Jan),8.00%,,8.00%
12,178849,01/02/1970,09:00,united kingdom,GBP,low,Manufacturing Production (YoY)  (Jan),-0.70%,,2.40%
13,92115,01/02/1970,09:00,united kingdom,GBP,high,Manufacturing Production (MoM)  (Jan),-2.70%,,0.60%
14,156208,01/02/1970,09:00,united kingdom,GBP,low,PPI Output (YoY)  (Jan),4.80%,,3.40%
15,96719,01/02/1970,09:00,united kingdom,GBP,low,PPI Output (MoM)  (Jan),1.30%,,0.00%
16,99680,01/02/1970,09:00,united kingdom,GBP,low,RPI (YoY)  (Jan),5.00%,,4.70%
17,180230,01/02/1970,09:00,united kingdom,GBP,low,RPI (MoM)  (Jan),0.80%,,0.70%
18,100714,01/02/1970,09:00,united kingdom,GBP,medium,Trade Balance  (Jan),0.03B,,
19,156899,01/03/1970,09:00,united kingdom,GBP,low,Industrial Production (YoY)  (Feb),1.00%,,-0.40%
20,85592,01/03/1970,09:00,united kingdom,GBP,medium,Industrial Production (MoM)  (Feb),1.80%,,-2.60%
21,87575,01/03/1970,09:00,united kingdom,GBP,high,BoE Interest Rate Decision  (Feb),8.00%,,8.00%
22,92116,01/03/1970,09:00,united kingdom,GBP,high,Manufacturing Production (MoM)  (Feb),1.60%,,-2.70%
23,178850,01/03/1970,09:00,united kingdom,GBP,low,Manufacturing Production (YoY)  (Feb),0.80%,,-0.70%
24,156209,01/03/1970,09:00,united kingdom,GBP,low,PPI Output (YoY)  (Feb),4.80%,,4.80%
25,96720,01/03/1970,09:00,united kingdom,GBP,low,PPI Output (MoM)  (Feb),0.70%,,1.30%
26,180231,01/03/1970,09:00,united kingdom,GBP,low,RPI (MoM)  (Feb),0.50%,,0.80%
27,99681,01/03/1970,09:00,united kingdom,GBP,low,RPI (YoY)  (Feb),4.90%,,5.00%
28,100715,01/03/1970,09:00,united kingdom,GBP,medium,Trade Balance  (Feb),0.02B,,0.03B
29,85593,01/04/1970,09:00,united kingdom,GBP,medium,Industrial Production (MoM)  (Mar),1.20%,,1.80%
30,156900,01/04/1970,09:00,united kingdom,GBP,low,Industrial Production (YoY)  (Mar),2.40%,,1.00%
31,87576,01/04/1970,09:00,united kingdom,GBP,high,BoE Interest Rate Decision  (Mar),7.50%,,8.00%
32,92117,01/04/1970,09:00,united kingdom,GBP,high,Manufacturing Production (MoM)  (Mar),1.00%,,1.60%
33,178851,01/04/1970,09:00,united kingdom,GBP,low,Manufacturing Production (YoY)  (Mar),1.90%,,0.80%
34,96721,01/04/1970,09:00,united kingdom,GBP,low,PPI Output (MoM)  (Mar),0.70%,,0.70%
35,156210,01/04/1970,09:00,united kingdom,GBP,low,PPI Output (YoY)  (Mar),5.50%,,4.80%
36,99682,01/04/1970,09:00,united kingdom,GBP,low,RPI (YoY)  (Mar),5.10%,,4.90%
37,180232,01/04/1970,09:00,united kingdom,GBP,low,RPI (MoM)  (Mar),0.60%,,0.50%
38,100716,01/04/1970,09:00,united kingdom,GBP,medium,Trade Balance  (Mar),0.03B,,0.02B
39,85594,01/05/1970,09:00,united kingdom,GBP,medium,Industrial Production (MoM)  (Apr),-0.50%,,1.20%
40,156901,01/05/1970,09:00,united kingdom,GBP,low,Industrial Production (YoY)  (Apr),0.10%,,2.40%
41,87577,01/05/1970,09:00,united kingdom,GBP,high,BoE Interest Rate Decision  (Apr),7.00%,,7.50%
42,178852,01/05/1970,09:00,united kingdom,GBP,low,Manufacturing Production (YoY)  (Apr),0.00%,,1.90%
43,92118,01/05/1970,09:00,united kingdom,GBP,high,Manufacturing Production (MoM)  (Apr),-0.20%,,1.00%
44,96722,01/05/1970,09:00,united kingdom,GBP,low,PPI Output (MoM)  (Apr),0.60%,,0.70%
45,156211,01/05/1970,09:00,united kingdom,GBP,low,PPI Output (YoY)  (Apr),5.40%,,5.50%
46,180233,01/05/1970,09:00,united kingdom,GBP,low,RPI (MoM)  (Apr),1.50%,,0.60%
47,99683,01/05/1970,09:00,united kingdom,GBP,low,RPI (YoY)  (Apr),5.60%,,5.10%
48,100717,01/05/1970,09:00,united kingdom,GBP,medium,Trade Balance  (Apr),-0.01B,,0.03B
49,156902,01/06/1970,09:00,united kingdom,GBP,low,Industrial Production (YoY)  (May),-0.80%,,0.10%
50,85595,01/06/1970,09:00,united kingdom,GBP,medium,Industrial Production (MoM)  (May),-1.00%,,-0.50%
51,87578,01/06/1970,09:00,united kingdom,GBP,high,BoE Interest Rate Decision  (May),7.00%,,7.00%
52,178853,01/06/1970,09:00,united kingdom,GBP,low,Manufacturing Production (YoY)  (May),0.00%,,0.00%
53,92119,01/06/1970,09:00,united kingdom,GBP,high,Manufacturing Production (MoM)  (May),-0.10%,,-0.20%
54,96723,01/06/1970,09:00,united kingdom,GBP,low,PPI Output (MoM)  (May),1.30%,,0.60%
55,156212,01/06/1970,09:00,united kingdom,GBP,low,PPI Output (YoY)  (May),6.80%,,5.40%
56,99684,01/06/1970,09:00,united kingdom,GBP,low,RPI (YoY)  (May),6.10%,,5.60%
57,180234,01/06/1970,09:00,united kingdom,GBP,low,RPI (MoM)  (May),0.30%,,1.50%
58,100718,01/06/1970,09:00,united kingdom,GBP,medium,Trade Balance  (May),-0.04B,,-0.01B
59,85596,01/07/1970,09:00,united kingdom,GBP,medium,Industrial Production (MoM)  (Jun),0.30%,,-1.00%
