,id,date,time,zone,currency,importance,event,actual,forecast,previous
0,226324,01/01/1970,10:00,indonesia,IDR,low,Export Growth (YoY)  (Dec),35.59%,,
1,227067,01/01/1970,10:00,indonesia,IDR,low,Import Growth (YoY)  (Dec),15.02%,,
2,125489,01/01/1970,10:00,indonesia,IDR,medium,Trade Balance  (Dec),0.02B,,
3,226325,01/02/1970,10:00,indonesia,IDR,low,Export Growth (YoY)  (Jan),32.76%,,35.59%
4,227068,01/02/1970,10:00,indonesia,IDR,low,Import Growth (YoY)  (Jan),14.96%,,15.02%
5,125490,01/02/1970,10:00,indonesia,IDR,medium,Trade Balance  (Jan),0.01B,,0.02B
6,226326,01/03/1970,10:00,indonesia,IDR,low,Export Growth (YoY)  (Feb),18.64%,,32.76%
7,227069,01/03/1970,10:00,indonesia,IDR,low,Import Growth (YoY)  (Feb),37.34%,,14.96%
8,125491,01/03/1970,10:00,indonesia,IDR,medium,Trade Balance  (Feb),0.00B,,0.01B
9,226327,01/04/1970,10:00,indonesia,IDR,low,Export Growth (YoY)  (Mar),14.08%,,18.64%
10,227070,01/04/1970,10:00,indonesia,IDR,low,Import Growth (YoY)  (Mar),-5.73%,,37.34%
11,125492,01/04/1970,10:00,indonesia,IDR,medium,Trade Balance  (Mar),0.01B,,0.00B
12,226328,01/05/1970,10:00,indonesia,IDR,low,Export Growth (YoY)  (Apr),36.51%,,14.08%
13,227071,01/05/1970,10:00,indonesia,IDR,low,Import Growth (YoY)  (Apr),99.18%,,-5.73%
14,125493,01/05/1970,10:00,indonesia,IDR,medium,Trade Balance  (Apr),-0.01B,,0.01B
15,226329,01/06/1970,10:00,indonesia,IDR,low,Export Growth (YoY)  (May),55.56%,,36.51%
16,227072,01/06/1970,10:00,indonesia,IDR,low,Import Growth (YoY)  (May),45.84%,,99.18%
17,125494,01/06/1970,10:00,indonesia,IDR,medium,Trade Balance  (May),0.03B,,-0.01B
18,226330,01/07/1970,10:00,indonesia,IDR,low,Export Growth (YoY)  (Jun),35.62%,,55.56%
19,227073,01/07/1970,10:00,indonesia,IDR,low,Import Growth (YoY)  (Jun),52.71%,,45.84%
20,125495,01/07/1970,10:00,indonesia,IDR,medium,Trade Balance  (Jun),0.03B,,0.03B
21,226331,01/08/1970,10:00,indonesia,IDR,low,Export Growth (YoY)  (Jul),30.67%,,35.62%
22,227074,01/08/1970,10:00,indonesia,IDR,low,Import Growth (YoY)  (Jul),45.05%,,52.71%
23,125496,01/08/1970,10:00,indonesia,IDR,medium,Trade Balance  (Jul),0.02B,,0.03B
24,226332,01/09/1970,10:00,indonesia,IDR,low,Export Growth (YoY)  (Aug),41.33%,,30.67%
25,227075,01/09/1970,10:00,indonesia,IDR,low,Import Growth (YoY)  (Aug),-3.66%,,45.05%
26,125497,01/09/1970,10:00,indonesia,IDR,medium,Trade Balance  (Aug),0.04B,,0.02B
27,226333,01/10/1970,10:00,indonesia,IDR,low,Export Growth (YoY)  (Sep),43.66%,,41.33%
28,227076,01/10/1970,10:00,indonesia,IDR,low,Import Growth (YoY)  (Sep),6.33%,,-3.66%
29,125498,01/10/1970,10:00,indonesia,IDR,medium,Trade Balance  (Sep),0.03B,,0.04B
30,226334,01/11/1970,10:00,indonesia,IDR,low,Export Growth (YoY)  (Oct),30.77%,,43.66%
31,227077,01/11/1970,10:00,indonesia,IDR,low,Import Growth (YoY)  (Oct),13.83%,,6.33%
32,125499,01/11/1970,10:00,indonesia,IDR,medium,Trade Balance  (Oct),0.01B,,0.03B
33,226335,01/12/1970,10:00,indonesia,IDR,low,Export Growth (YoY)  (Nov),69.70%,,30.77%
34,227078,01/12/1970,10:00,indonesia,IDR,low,Import Growth (YoY)  (Nov),4.24%,,13.83%
35,125500,01/12/1970,10:00,indonesia,IDR,medium,Trade Balance  (Nov),0.04B,,0.01B
36,226336,01/01/1971,10:00,indonesia,IDR,low,Export Growth (YoY)  (Dec),51.25%,,69.70%
37,227079,01/01/1971,10:00,indonesia,IDR,low,Import Growth (YoY)  (Dec),26.28%,,4.24%
38,125501,01/01/1971,10:00,indonesia,IDR,medium,Trade Balance  (Dec),0.04B,,0.04B
39,226337,01/02/1971,10:00,indonesia,IDR,low,Export Growth (YoY)  (Jan),28.57%,,51.25%
40,227080,01/02/1971,10:00,indonesia,IDR,low,Import Growth (YoY)  (Jan),27.72%,,26.28%
41,125502,01/02/1971,10:00,indonesia,IDR,medium,Trade Balance  (Jan),0.01B,,0.04B
42,226338,01/03/1971,10:00,indonesia,IDR,low,Export Growth (YoY)  (Feb),18.57%,,28.57%
43,227081,01/03/1971,10:00,indonesia,IDR,low,Import Growth (YoY)  (Feb),31.03%,,27.72%
44,125503,01/03/1971,10:00,indonesia,IDR,medium,Trade Balance  (Feb),0.00B,,0.01B
45,226339,01/04/1971,10:00,indonesia,IDR,low,Export Growth (YoY)  (Mar),29.63%,,18.57%
46,227082,01/04/1971,10:00,indonesia,IDR,low,Import Growth (YoY)  (Mar),98.16%,,31.03%
47,125504,01/04/1971,10:00,indonesia,IDR,medium,Trade Balance  (Mar),-0.04B,,0.00B
48,226340,01/05/1971,10:00,indonesia,IDR,low,Export Growth (YoY)  (Apr),4.65%,,29.63%
49,227083,01/05/1971,10:00,indonesia,IDR,low,Import Growth (YoY)  (Apr),-17.63%,,98.16%
50,125505,01/05/1971,10:00,indonesia,IDR,medium,Trade Balance  (Apr),0.01B,,-0.04B
51,226341,01/06/1971,10:00,indonesia,IDR,low,Export Growth (YoY)  (May),8.16%,,4.65%
52,227084,01/06/1971,10:00,indonesia,IDR,low,Import Growth (YoY)  (May),34.05%,,-17.63%
53,125506,01/06/1971,10:00,indonesia,IDR,medium,Trade Balance  (May),0.02B,,0.01B
54,226342,01/07/1971,10:00,indonesia,IDR,low,Export Growth (YoY)  (Jun),7.07%,,8.16%
55,227085,01/07/1971,10:00,indonesia,IDR,low,Import Growth (YoY)  (Jun),37.93%,,34.05%
56,125507,01/07/1971,10:00,indonesia,IDR,medium,Trade Balance  (Jun),0.00B,,0.02B
57,226343,01/08/1971,10:00,indonesia,IDR,low,Export Growth (YoY)  (Jul),0.00%,,7.07%
58,227086,01/08/1971,10:00,indonesia,IDR,low,Import Growth (YoY)  (Jul),26.80%,,37.93%
59,125508,01/08/1971,10:00,indonesia,IDR,medium,Trade Balance  (Jul),0.00B,,0.00B
60,226344,01/09/1971,10:00,indonesia,IDR,low,Export Growth (YoY)  (Aug),5.66%,,0.00%
61,227087,01/09/1971,10:00,indonesia,IDR,low,Import Growth (YoY)  (Aug),50.66%,,26.80%
62,125509,01/09/1971,10:00,indonesia,IDR,medium,Trade Balance  (Aug),0.01B,,0.00B
63,226345,01/10/1971,10:00,indonesia,IDR,low,Export Growth (YoY)  (Sep),1.96%,,5.66%
64,227088,01/10/1971,10:00,indonesia,IDR,low,Import Growth (YoY)  (Sep),32.44%,,50.66%
65,125510,01/10/1971,10:00,indonesia,IDR,medium,Trade Balance  (Sep),0.01B,,0.01B
66,226346,01/11/1971,10:00,indonesia,IDR,low,Export Growth (YoY)  (Oct),5.88%,,1.96%
67,227089,01/11/1971,10:00,indonesia,IDR,low,Import Growth (YoY)  (Oct),13.15%,,32.44%
68,125511,01/11/1971,10:00,indonesia,IDR,medium,Trade Balance  (Oct),0.01B,,0.01B
69,226347,01/12/1971,10:00,indonesia,IDR,low,Export Growth (YoY)  (Nov),2.68%,,5.88%
70,227090,01/12/1971,10:00,indonesia,IDR,low,Import Growth (YoY)  (Nov),23.98%,,13.15%
71,125512,01/12/1971,10:00,indonesia,IDR,medium,Trade Balance  (Nov),0.03B,,0.01B
72,226348,01/01/1972,10:00,indonesia,IDR,low,Export Growth (YoY)  (Dec),-0.83%,,2.68%
73,227091,01/01/1972,10:00,indonesia,IDR,low,Import Growth (YoY)  (Dec),41.75%,,23.98%
74,125513,01/01/1972,10:00,indonesia,IDR,medium,Trade Balance  (Dec),0.01B,,0.03B
75,226349,01/02/1972,10:00,indonesia,IDR,low,Export Growth (YoY)  (Jan),7.07%,,-0.83%
76,227092,01/02/1972,10:00,indonesia,IDR,low,Import Growth (YoY)  (Jan),-7.09%,,41.75%
77,125514,01/02/1972,10:00,indonesia,IDR,medium,Trade Balance  (Jan),0.02B,,0.01B
78,226350,01/03/1972,10:00,indonesia,IDR,low,Export Growth (YoY)  (Feb),-27.71%,,7.07%
79,227093,01/03/1972,10:00,indonesia,IDR,low,Import Growth (YoY)  (Feb),12.54%,,-7.09%
80,125515,01/03/1972,10:00,indonesia,IDR,medium,Trade Balance  (Feb),-0.04B,,0.02B
81,226351,01/04/1972,10:00,indonesia,IDR,low,Export Growth (YoY)  (Mar),28.57%,,-27.71%
82,227094,01/04/1972,10:00,indonesia,IDR,low,Import Growth (YoY)  (Mar),-33.40%,,12.54%
83,125516,01/04/1972,10:00,indonesia,IDR,medium,Trade Balance  (Mar),0.04B,,-0.04B
84,226352,01/05/1972,10:00,indonesia,IDR,low,Export Growth (YoY)  (Apr),36.67%,,28.57%
85,227095,01/05/1972,10:00,indonesia,IDR,low,Import Growth (YoY)  (Apr),37.92%,,-33.40%
86,125517,01/05/1972,10:00,indonesia,IDR,medium,Trade Balance  (Apr),0.01B,,0.04B
87,226353,01/06/1972,10:00,indonesia,IDR,low,Export Growth (YoY)  (May),-33.96%,,36.67%
88,227096,01/06/1972,10:00,indonesia,IDR,low,Import Growth (YoY)  (May),13.22%,,37.92%
89,125518,01/06/1972,10:00,indonesia,IDR,medium,Trade Balance  (May),-0.03B,,0.01B
90,226354,01/07/1972,10:00,indonesia,IDR,low,Export Growth (YoY)  (Jun),7.55%,,-33.96%
91,227097,01/07/1972,10:00,indonesia,IDR,low,Import Growth (YoY)  (Jun),40.26%,,13.22%
92,125519,01/07/1972,10:00,indonesia,IDR,medium,Trade Balance  (Jun),-0.03B,,-0.03B
93,226355,01/08/1972,10:00,indonesia,IDR,low,Export Growth (YoY)  (Jul),6.12%,,7.55%
94,227098,01/08/1972,10:00,indonesia,IDR,low,Import Growth (YoY)  (Jul),78.35%,,40.26%
95,125520,01/08/1972,10:00,indonesia,IDR,medium,Trade Balance  (Jul),-0.07B,,-0.03B
96,226356,01/09/1972,10:00,indonesia,IDR,low,Export Growth (YoY)  (Aug),58.93%,,6.12%
97,227099,01/09/1972,10:00,indonesia,IDR,low,Import Growth (YoY)  (Aug),22.48%,,78.35%
98,125521,01/09/1972,10:00,indonesia,IDR,medium,Trade Balance  (Aug),0.05B,,-0.07B
99,226357,01/10/1972,10:00,indonesia,IDR,low,Export Growth (YoY)  (Sep),52.88%,,58.93%
100,227100,01/10/1972,10:00,indonesia,IDR,low,Import Growth (YoY)  (Sep),45.56%,,22.48%
101,125522,01/10/1972,10:00,indonesia,IDR,medium,Trade Balance  (Sep),0.02B,,0.05B
102,226358,01/11/1972,10:00,indonesia,IDR,low,Export Growth (YoY)  (Oct),56.48%,,52.88%
103,227101,01/11/1972,10:00,indonesia,IDR,low,Import Growth (YoY)  (Oct),13.10%,,45.56%
104,125523,01/11/1972,10:00,indonesia,IDR,medium,Trade Balance  (Oct),0.05B,,0.02B
105,226359,01/12/1972,10:00,indonesia,IDR,low,Export Growth (YoY)  (Nov),36.52%,,56.48%
106,227102,01/12/1972,10:00,indonesia,IDR,low,Import Growth (YoY)  (Nov),48.30%,,13.10%
107,125524,01/12/1972,10:00,indonesia,IDR,medium,Trade Balance  (Nov),0.03B,,0.05B
108,226360,01/01/1973,10:00,indonesia,IDR,low,Export Growth (YoY)  (Dec),33.33%,,36.52%
109,227103,01/01/1973,10:00,indonesia,IDR,low,Import Growth (YoY)  (Dec),43.12%,,48.30%
110,125525,01/01/1973,10:00,indonesia,IDR,medium,Trade Balance  (Dec),0.00B,,0.03B
111,226361,01/02/1973,10:00,indonesia,IDR,low,Export Growth (YoY)  (Jan),71.70%,,33.33%
112,227104,01/02/1973,10:00,indonesia,IDR,low,Import Growth (YoY)  (Jan),104.89%,,43.12%
113,125526,01/02/1973,10:00,indonesia,IDR,medium,Trade Balance  (Jan),0.01B,,0.00B
114,226362,01/03/1973,10:00,indonesia,IDR,low,Export Growth (YoY)  (Feb),66.67%,,71.70%
115,227105,01/03/1973,10:00,indonesia,IDR,low,Import Growth (YoY)  (Feb),36.88%,,104.89%
116,125527,01/03/1973,10:00,indonesia,IDR,medium,Trade Balance  (Feb),-0.03B,,0.01B
117,226363,01/04/1973,10:00,indonesia,IDR,low,Export Growth (YoY)  (Mar),41.48%,,66.67%
118,227106,01/04/1973,10:00,indonesia,IDR,low,Import Growth (YoY)  (Mar),75.24%,,36.88%
119,125528,01/04/1973,10:00,indonesia,IDR,medium,Trade Balance  (Mar),0.03B,,-0.03B
120,226364,01/05/1973,10:00,indonesia,IDR,low,Export Growth (YoY)  (Apr),73.17%,,41.48%
121,227107,01/05/1973,10:00,indonesia,IDR,low,Import Growth (YoY)  (Apr),37.30%,,75.24%
122,125529,01/05/1973,10:00,indonesia,IDR,medium,Trade Balance  (Apr),0.06B,,0.03B
123,226365,01/06/1973,10:00,indonesia,IDR,low,Export Growth (YoY)  (May),260.00%,,73.17%
124,227108,01/06/1973,10:00,indonesia,IDR,low,Import Growth (YoY)  (May),109.34%,,37.30%
125,125530,01/06/1973,10:00,indonesia,IDR,medium,Trade Balance  (May),0.05B,,0.06B
126,226366,01/07/1973,10:00,indonesia,IDR,low,Export Growth (YoY)  (Jun),135.09%,,260.00%
127,227109,01/07/1973,10:00,indonesia,IDR,low,Import Growth (YoY)  (Jun),72.71%,,109.34%
128,125531,01/07/1973,10:00,indonesia,IDR,medium,Trade Balance  (Jun),0.02B,,0.05B
129,226367,01/08/1973,10:00,indonesia,IDR,low,Export Growth (YoY)  (Jul),168.27%,,135.09%
130,227110,01/08/1973,10:00,indonesia,IDR,low,Import Growth (YoY)  (Jul),30.48%,,72.71%
131,125532,01/08/1973,10:00,indonesia,IDR,medium,Trade Balance  (Jul),0.05B,,0.02B
132,226368,01/09/1973,10:00,indonesia,IDR,low,Export Growth (YoY)  (Aug),69.66%,,168.27%
133,227111,01/09/1973,10:00,indonesia,IDR,low,Import Growth (YoY)  (Aug),72.15%,,30.48%
134,125533,01/09/1973,10:00,indonesia,IDR,medium,Trade Balance  (Aug),0.08B,,0.05B
135,226369,01/10/1973,10:00,indonesia,IDR,low,Export Growth (YoY)  (Sep),69.18%,,69.66%
136,227112,01/10/1973,10:00,indonesia,IDR,low,Import Growth (YoY)  (Sep),51.58%,,72.15%
137,125534,01/10/1973,10:00,indonesia,IDR,medium,Trade Balance  (Sep),0.06B,,0.08B
138,226370,01/11/1973,10:00,indonesia,IDR,low,Export Growth (YoY)  (Oct),95.27%,,69.18%
139,227113,01/11/1973,10:00,indonesia,IDR,low,Import Growth (YoY)  (Oct),92.51%,,51.58%
