,id,date,time,zone,currency,importance,event,actual,forecast,previous
0,204886,01/01/1970,10:00,india,INR,low,Exports (USD)  (Dec),0.16B,,
1,205407,01/01/1970,10:00,india,INR,low,Imports (USD)  (Dec),0.16B,,
2,163293,01/01/1970,10:00,india,INR,low,M3 Money Supply  (Dec),13.50%,,
3,155237,01/01/1970,10:00,india,INR,low,Trade Balance  (Dec),0.00B,,
4,204887,01/02/1970,10:00,india,INR,low,Exports (USD)  (Jan),0.19B,,0.16B
5,205408,01/02/1970,10:00,india,INR,low,Imports (USD)  (Jan),0.18B,,0.16B
6,163294,01/02/1970,10:00,india,INR,low,M3 Money Supply  (Jan),13.71%,,13.50%
7,155238,01/02/1970,10:00,india,INR,low,Trade Balance  (Jan),0.01B,,0.00B
8,204888,01/03/1970,10:00,india,INR,low,Exports (USD)  (Feb),0.13B,,0.19B
9,205409,01/03/1970,10:00,india,INR,low,Imports (USD)  (Feb),0.18B,,0.18B
10,163295,01/03/1970,10:00,india,INR,low,M3 Money Supply  (Feb),13.01%,,13.71%
11,155239,01/03/1970,10:00,india,INR,low,Trade Balance  (Feb),-0.05B,,0.01B
12,204889,01/04/1970,10:00,india,INR,low,Exports (USD)  (Mar),0.17B,,0.13B
13,205410,01/04/1970,10:00,india,INR,low,Imports (USD)  (Mar),0.19B,,0.18B
14,163296,01/04/1970,10:00,india,INR,low,M3 Money Supply  (Mar),16.05%,,13.01%
15,155240,01/04/1970,10:00,india,INR,low,Trade Balance  (Mar),-0.02B,,-0.05B
16,204890,01/05/1970,10:00,india,INR,low,Exports (USD)  (Apr),0.17B,,0.17B
17,205411,01/05/1970,10:00,india,INR,low,Imports (USD)  (Apr),0.20B,,0.19B
18,163297,01/05/1970,10:00,india,INR,low,M3 Money Supply  (Apr),16.12%,,16.05%
19,155241,01/05/1970,10:00,india,INR,low,Trade Balance  (Apr),-0.03B,,-0.02B
20,204891,01/06/1970,10:00,india,INR,low,Exports (USD)  (May),0.16B,,0.17B
21,205412,01/06/1970,10:00,india,INR,low,Imports (USD)  (May),0.16B,,0.20B
22,155242,01/06/1970,10:00,india,INR,low,Trade Balance  (May),0.00B,,-0.03B
23,204892,01/07/1970,10:00,india,INR,low,Exports (USD)  (Jun),0.13B,,0.16B
24,205413,01/07/1970,10:00,india,INR,low,Imports (USD)  (Jun),0.17B,,0.16B
25,155243,01/07/1970,10:00,india,INR,low,Trade Balance  (Jun),-0.04B,,0.00B
26,204893,01/08/1970,10:00,india,INR,low,Exports (USD)  (Jul),0.12B,,0.13B
27,205414,01/08/1970,10:00,india,INR,low,Imports (USD)  (Jul),0.17B,,0.17B
28,163298,01/08/1970,10:00,india,INR,low,M3 Money Supply  (Jul),15.87%,,16.12%
29,155244,01/08/1970,10:00,india,INR,low,Trade Balance  (Jul),-0.05B,,-0.04B
30,204894,01/09/1970,10:00,india,INR,low,Exports (USD)  (Aug),0.17B,,0.12B
31,205415,01/09/1970,10:00,india,INR,low,Imports (USD)  (Aug),0.20B,,0.17B
32,163299,01/09/1970,10:00,india,INR,low,M3 Money Supply  (Aug),16.29%,,15.87%
