,id,date,time,zone,currency,importance,event,actual,forecast,previous
0,162414,01/01/1970,10:00,italy,EUR,low,Italian CPI (YoY)  (Dec),3.50%,,
1,162415,01/02/1970,10:00,italy,EUR,low,Italian CPI (YoY)  (Jan),5.30%,,3.50%
2,162416,01/03/1970,10:00,italy,EUR,low,Italian CPI (YoY)  (Feb),5.30%,,5.30%
3,162417,01/04/1970,10:00,italy,EUR,low,Italian CPI (YoY)  (Mar),5.30%,,5.30%
4,162418,01/05/1970,10:00,italy,EUR,low,Italian CPI (YoY)  (Apr),5.20%,,5.30%
5,162419,01/06/1970,10:00,italy,EUR,low,Italian CPI (YoY)  (May),5.20%,,5.20%
6,162420,01/07/1970,10:00,italy,EUR,low,Italian CPI (YoY)  (Jun),5.20%,,5.20%
7,162421,01/08/1970,10:00,italy,EUR,low,Italian CPI (YoY)  (Jul),5.20%,,5.20%
8,162422,01/09/1970,10:00,italy,EUR,low,Italian CPI (YoY)  (Aug),5.20%,,5.20%
9,162423,01/10/1970,10:00,italy,EUR,low,Italian CPI (YoY)  (Sep),5.10%,,5.20%
10,162424,01/11/1970,10:00,italy,EUR,low,Italian CPI (YoY)  (Oct),5.10%,,5.10%
11,162425,01/12/1970,10:00,italy,EUR,low,Italian CPI (YoY)  (Nov),5.10%,,5.10%
12,162426,01/01/1971,10:00,italy,EUR,low,Italian CPI (YoY)  (Dec),6.80%,,5.10%
13,162427,01/02/1971,10:00,italy,EUR,low,Italian CPI (YoY)  (Jan),5.00%,,6.80%
14,162428,01/03/1971,10:00,italy,EUR,low,Italian CPI (YoY)  (Feb),5.00%,,5.00%
15,162429,01/04/1971,10:00,italy,EUR,low,Italian CPI (YoY)  (Mar),5.00%,,5.00%
16,162430,01/05/1971,10:00,italy,EUR,low,Italian CPI (YoY)  (Apr),3.30%,,5.00%
17,162431,01/06/1971,10:00,italy,EUR,low,Italian CPI (YoY)  (May),4.90%,,3.30%
18,162432,01/07/1971,10:00,italy,EUR,low,Italian CPI (YoY)  (Jun),4.90%,,4.90%
19,162433,01/08/1971,10:00,italy,EUR,low,Italian CPI (YoY)  (Jul),4.90%,,4.90%
20,162434,01/09/1971,10:00,italy,EUR,low,Italian CPI (YoY)  (Aug),4.90%,,4.90%
