,id,date,time,zone,currency,importance,event,actual,forecast,previous
0,206529,01/01/1970,10:00,japan,JPY,low,Capacity Utilization (MoM)  (Dec),1.10%,,
1,209132,01/01/1970,10:00,japan,JPY,medium,Exports (YoY)  (Dec),23.50%,,
2,211141,01/01/1970,10:00,japan,JPY,low,Foreign Reserves (USD)  (Dec),3.50B,,
3,84904,01/01/1970,10:00,japan,JPY,low,Housing Starts (YoY)  (Dec),9.80%,,
4,209653,01/01/1970,10:00,japan,JPY,low,Imports (YoY)  (Dec),19.40%,,
5,86047,01/01/1970,10:00,japan,JPY,medium,Industrial Production (MoM)  (Dec),1.70%,,
6,210301,01/01/1970,10:00,japan,JPY,medium,Jobs/applications ratio  (Dec),1.46,,
7,207050,01/01/1970,10:00,japan,JPY,low,PPI (MoM)  (Dec),0.40%,,
8,65675,01/01/1970,10:00,japan,JPY,low,PPI (YoY)  (Dec),3.50%,,
9,211662,01/01/1970,10:00,japan,JPY,medium,Trade Balance  (Dec),127.20B,,
10,104468,01/01/1970,10:00,japan,JPY,low,Unemployment Rate  (Dec),1.10%,,
11,206530,01/02/1970,10:00,japan,JPY,low,Capacity Utilization (MoM)  (Jan),-1.20%,,1.10%
12,209133,01/02/1970,10:00,japan,JPY,medium,Exports (YoY)  (Jan),30.00%,,23.50%
13,211142,01/02/1970,10:00,japan,JPY,low,Foreign Reserves (USD)  (Jan),3.62B,,3.50B
14,84905,01/02/1970,10:00,japan,JPY,low,Housing Starts (YoY)  (Jan),16.50%,,9.80%
15,209654,01/02/1970,10:00,japan,JPY,low,Imports (YoY)  (Jan),25.20%,,19.40%
16,86048,01/02/1970,10:00,japan,JPY,medium,Industrial Production (MoM)  (Jan),1.40%,,1.70%
17,210302,01/02/1970,10:00,japan,JPY,medium,Jobs/applications ratio  (Jan),1.49,,1.46
18,65676,01/02/1970,10:00,japan,JPY,low,PPI (YoY)  (Jan),4.10%,,3.50%
19,207051,01/02/1970,10:00,japan,JPY,low,PPI (MoM)  (Jan),0.50%,,0.40%
20,211663,01/02/1970,10:00,japan,JPY,medium,Trade Balance  (Jan),-112.60B,,127.20B
21,104469,01/02/1970,10:00,japan,JPY,low,Unemployment Rate  (Jan),1.10%,,1.10%
22,206531,01/03/1970,10:00,japan,JPY,low,Capacity Utilization (MoM)  (Feb),-0.30%,,-1.20%
23,209134,01/03/1970,10:00,japan,JPY,medium,Exports (YoY)  (Feb),23.70%,,30.00%
24,211143,01/03/1970,10:00,japan,JPY,low,Foreign Reserves (USD)  (Feb),3.63B,,3.62B
25,84906,01/03/1970,10:00,japan,JPY,low,Housing Starts (YoY)  (Feb),21.00%,,16.50%
26,209655,01/03/1970,10:00,japan,JPY,low,Imports (YoY)  (Feb),27.20%,,25.20%
27,86049,01/03/1970,10:00,japan,JPY,medium,Industrial Production (MoM)  (Feb),1.20%,,1.40%
28,210303,01/03/1970,10:00,japan,JPY,medium,Jobs/applications ratio  (Feb),1.47,,1.49
29,207052,01/03/1970,10:00,japan,JPY,low,PPI (MoM)  (Feb),0.50%,,0.50%
30,65677,01/03/1970,10:00,japan,JPY,low,PPI (YoY)  (Feb),4.60%,,4.10%
31,211664,01/03/1970,10:00,japan,JPY,medium,Trade Balance  (Feb),-20.00B,,-112.60B
