,id,date,time,zone,currency,importance,event,actual,forecast,previous
0,120910,01/01/1970,09:00,south korea,KRW,medium,CPI (YoY)  (Dec),16.30%,,
1,161014,01/01/1970,09:00,south korea,KRW,low,CPI (MoM)  (Dec),2.20%,,
2,263814,01/01/1970,09:00,south korea,KRW,low,Exports (YoY)  (Dec),47.70%,,
3,258839,01/01/1970,09:00,south korea,KRW,low,Imports (YoY)  (Dec),-7.40%,,
4,147630,01/01/1970,09:00,south korea,KRW,low,PPI (MoM)  (Dec),0.90%,,
5,161906,01/01/1970,09:00,south korea,KRW,low,PPI (YoY)  (Dec),7.60%,,
6,121557,01/01/1970,09:00,south korea,KRW,low,Trade Balance  (Dec),0.00B,,
7,161015,01/02/1970,09:00,south korea,KRW,low,CPI (MoM)  (Jan),1.40%,,2.20%
8,120911,01/02/1970,09:00,south korea,KRW,medium,CPI (YoY)  (Jan),14.90%,,16.30%
9,263815,01/02/1970,09:00,south korea,KRW,low,Exports (YoY)  (Jan),46.20%,,47.70%
10,258840,01/02/1970,09:00,south korea,KRW,low,Imports (YoY)  (Jan),22.90%,,-7.40%
11,147631,01/02/1970,09:00,south korea,KRW,low,PPI (MoM)  (Jan),2.40%,,0.90%
12,161907,01/02/1970,09:00,south korea,KRW,low,PPI (YoY)  (Jan),8.40%,,7.60%
13,121559,01/02/1970,09:00,south korea,KRW,low,Trade Balance  (Jan),0.00B,,-0.12B
14,161016,01/03/1970,09:00,south korea,KRW,low,CPI (MoM)  (Feb),2.00%,,1.40%
15,120912,01/03/1970,09:00,south korea,KRW,medium,CPI (YoY)  (Feb),16.50%,,14.90%
16,263816,01/03/1970,09:00,south korea,KRW,low,Exports (YoY)  (Feb),50.00%,,46.20%
17,258841,01/03/1970,09:00,south korea,KRW,low,Imports (YoY)  (Feb),21.50%,,22.90%
18,161908,01/03/1970,09:00,south korea,KRW,low,PPI (YoY)  (Feb),8.40%,,8.40%
19,147632,01/03/1970,09:00,south korea,KRW,low,PPI (MoM)  (Feb),1.00%,,2.40%
20,121561,01/03/1970,09:00,south korea,KRW,low,Trade Balance  (Feb),0.00B,,-0.10B
21,161017,01/04/1970,09:00,south korea,KRW,low,CPI (MoM)  (Mar),2.20%,,2.00%
22,120913,01/04/1970,09:00,south korea,KRW,medium,CPI (YoY)  (Mar),18.10%,,16.50%
23,263817,01/04/1970,09:00,south korea,KRW,low,Exports (YoY)  (Mar),54.40%,,50.00%
24,258842,01/04/1970,09:00,south korea,KRW,low,Imports (YoY)  (Mar),23.60%,,21.50%
25,147633,01/04/1970,09:00,south korea,KRW,low,PPI (MoM)  (Mar),0.90%,,1.00%
26,161909,01/04/1970,09:00,south korea,KRW,low,PPI (YoY)  (Mar),9.00%,,8.40%
27,121563,01/04/1970,09:00,south korea,KRW,low,Trade Balance  (Mar),0.00B,,-0.08B
28,120914,01/05/1970,09:00,south korea,KRW,medium,CPI (YoY)  (Apr),20.00%,,18.10%
