,id,date,time,zone,currency,importance,event,actual,forecast,previous
0,244119,01/01/1970,10:00,mexico,MXN,medium,CPI (MoM)  (Dec),0.75%,,
1,244120,01/02/1970,10:00,mexico,MXN,medium,CPI (MoM)  (Jan),0.76%,,0.75%
2,115474,01/02/1970,10:00,mexico,MXN,medium,CPI (YoY)  (Jan),5.20%,,
3,115475,01/03/1970,10:00,mexico,MXN,medium,CPI (YoY)  (Feb),4.81%,,5.20%
4,244121,01/03/1970,10:00,mexico,MXN,medium,CPI (MoM)  (Feb),-0.01%,,0.76%
5,244122,01/04/1970,10:00,mexico,MXN,medium,CPI (MoM)  (Mar),0.29%,,-0.01%
6,115476,01/04/1970,10:00,mexico,MXN,medium,CPI (YoY)  (Mar),5.01%,,4.81%
7,244123,01/05/1970,10:00,mexico,MXN,medium,CPI (MoM)  (Apr),0.13%,,0.29%
8,115477,01/05/1970,10:00,mexico,MXN,medium,CPI (YoY)  (Apr),4.87%,,5.01%
9,115478,01/06/1970,10:00,mexico,MXN,medium,CPI (YoY)  (May),5.09%,,4.87%
10,244124,01/06/1970,10:00,mexico,MXN,medium,CPI (MoM)  (May),0.21%,,0.13%
11,115479,01/07/1970,10:00,mexico,MXN,medium,CPI (YoY)  (Jun),5.35%,,5.09%
12,244125,01/07/1970,10:00,mexico,MXN,medium,CPI (MoM)  (Jun),0.61%,,0.21%
13,244126,01/08/1970,10:00,mexico,MXN,medium,CPI (MoM)  (Jul),0.49%,,0.61%
14,115480,01/08/1970,10:00,mexico,MXN,medium,CPI (YoY)  (Jul),5.46%,,5.35%
15,244127,01/09/1970,10:00,mexico,MXN,medium,CPI (MoM)  (Aug),0.46%,,0.49%
16,115481,01/09/1970,10:00,mexico,MXN,medium,CPI (YoY)  (Aug),5.84%,,5.46%
17,115482,01/10/1970,10:00,mexico,MXN,medium,CPI (YoY)  (Sep),5.11%,,5.84%
18,244128,01/10/1970,10:00,mexico,MXN,medium,CPI (MoM)  (Sep),0.24%,,0.46%
19,115483,01/11/1970,10:00,mexico,MXN,medium,CPI (YoY)  (Oct),4.05%,,5.11%
20,244129,01/11/1970,10:00,mexico,MXN,medium,CPI (MoM)  (Oct),0.03%,,0.24%
21,115484,01/12/1970,10:00,mexico,MXN,medium,CPI (YoY)  (Nov),4.60%,,4.05%
22,244130,01/12/1970,10:00,mexico,MXN,medium,CPI (MoM)  (Nov),0.54%,,0.03%
23,115485,01/01/1971,10:00,mexico,MXN,medium,CPI (YoY)  (Dec),4.69%,,4.60%
24,244131,01/01/1971,10:00,mexico,MXN,medium,CPI (MoM)  (Dec),0.85%,,0.54%
25,244132,01/02/1971,10:00,mexico,MXN,medium,CPI (MoM)  (Jan),0.99%,,0.85%
26,115486,01/02/1971,10:00,mexico,MXN,medium,CPI (YoY)  (Jan),4.93%,,4.69%
27,115487,01/03/1971,10:00,mexico,MXN,medium,CPI (YoY)  (Feb),5.38%,,4.93%
28,244133,01/03/1971,10:00,mexico,MXN,medium,CPI (MoM)  (Feb),0.41%,,0.99%
29,244134,01/04/1971,10:00,mexico,MXN,medium,CPI (MoM)  (Mar),0.38%,,0.41%
30,115488,01/04/1971,10:00,mexico,MXN,medium,CPI (YoY)  (Mar),5.47%,,5.38%
31,115489,01/05/1971,10:00,mexico,MXN,medium,CPI (YoY)  (Apr),5.87%,,5.47%
32,244135,01/05/1971,10:00,mexico,MXN,medium,CPI (MoM)  (Apr),0.51%,,0.38%
33,244136,01/06/1971,10:00,mexico,MXN,medium,CPI (MoM)  (May),0.21%,,0.51%
34,115490,01/06/1971,10:00,mexico,MXN,medium,CPI (YoY)  (May),5.87%,,5.87%
35,244137,01/07/1971,10:00,mexico,MXN,medium,CPI (MoM)  (Jun),0.45%,,0.21%
36,115491,01/07/1971,10:00,mexico,MXN,medium,CPI (YoY)  (Jun),5.71%,,5.87%
37,115492,01/08/1971,10:00,mexico,MXN,medium,CPI (YoY)  (Jul),5.11%,,5.71%
38,244138,01/08/1971,10:00,mexico,MXN,medium,CPI (MoM)  (Jul),-0.08%,,0.45%
39,244139,01/09/1971,10:00,mexico,MXN,medium,CPI (MoM)  (Aug),0.91%,,-0.08%
40,115493,01/09/1971,10:00,mexico,MXN,medium,CPI (YoY)  (Aug),5.58%,,5.11%
41,115494,01/10/1971,10:00,mexico,MXN,medium,CPI (YoY)  (Sep),5.67%,,5.58%
42,244140,01/10/1971,10:00,mexico,MXN,medium,CPI (MoM)  (Sep),0.33%,,0.91%
43,115495,01/11/1971,10:00,mexico,MXN,medium,CPI (YoY)  (Oct),5.74%,,5.67%
44,244141,01/11/1971,10:00,mexico,MXN,medium,CPI (MoM)  (Oct),0.10%,,0.33%
45,244142,01/12/1971,10:00,mexico,MXN,medium,CPI (MoM)  (Nov),0.16%,,0.10%
46,115496,01/12/1971,10:00,mexico,MXN,medium,CPI (YoY)  (Nov),5.34%,,5.74%
47,244143,01/01/1972,10:00,mexico,MXN,medium,CPI (MoM)  (Dec),0.48%,,0.16%
48,115497,01/01/1972,10:00,mexico,MXN,medium,CPI (YoY)  (Dec),4.96%,,5.34%
49,244144,01/02/1972,10:00,mexico,MXN,medium,CPI (MoM)  (Jan),0.44%,,0.48%
50,115498,01/02/1972,10:00,mexico,MXN,medium,CPI (YoY)  (Jan),4.40%,,4.96%
51,115499,01/03/1972,10:00,mexico,MXN,medium,CPI (YoY)  (Feb),4.29%,,4.40%
52,244145,01/03/1972,10:00,mexico,MXN,medium,CPI (MoM)  (Feb),0.31%,,0.44%
53,244146,01/04/1972,10:00,mexico,MXN,medium,CPI (MoM)  (Mar),0.55%,,0.31%
54,115500,01/04/1972,10:00,mexico,MXN,medium,CPI (YoY)  (Mar),4.46%,,4.29%
55,115501,01/05/1972,10:00,mexico,MXN,medium,CPI (YoY)  (Apr),4.58%,,4.46%
56,244147,01/05/1972,10:00,mexico,MXN,medium,CPI (MoM)  (Apr),0.63%,,0.55%
57,244148,01/06/1972,10:00,mexico,MXN,medium,CPI (MoM)  (May),0.20%,,0.63%
58,115502,01/06/1972,10:00,mexico,MXN,medium,CPI (YoY)  (May),4.57%,,4.58%
59,244149,01/07/1972,10:00,mexico,MXN,medium,CPI (MoM)  (Jun),0.74%,,0.20%
60,115503,01/07/1972,10:00,mexico,MXN,medium,CPI (YoY)  (Jun),4.87%,,4.57%
61,115504,01/08/1972,10:00,mexico,MXN,medium,CPI (YoY)  (Jul),5.35%,,4.87%
62,244150,01/08/1972,10:00,mexico,MXN,medium,CPI (MoM)  (Jul),0.38%,,0.74%
63,115505,01/09/1972,10:00,mexico,MXN,medium,CPI (YoY)  (Aug),5.08%,,5.35%
64,244151,01/09/1972,10:00,mexico,MXN,medium,CPI (MoM)  (Aug),0.66%,,0.38%
65,115506,01/10/1972,10:00,mexico,MXN,medium,CPI (YoY)  (Sep),5.22%,,5.08%
66,244152,01/10/1972,10:00,mexico,MXN,medium,CPI (MoM)  (Sep),0.46%,,0.66%
