,id,date,time,zone,currency,importance,event,actual,forecast,previous
0,241501,01/02/1992,10:00,russia,RUB,medium,CPI (YoY)  (Jan),683.30%,,
1,113643,01/03/1992,10:00,russia,RUB,medium,CPI (MoM)  (Feb),0.00%,,
2,241502,01/03/1992,10:00,russia,RUB,medium,CPI (YoY)  (Feb),983.30%,,683.30%
3,113644,01/04/1992,10:00,russia,RUB,medium,CPI (MoM)  (Mar),0.00%,,0.00%
4,241503,01/04/1992,10:00,russia,RUB,medium,CPI (YoY)  (Mar),"1,316.70%",,983.30%
5,113645,01/05/1992,10:00,russia,RUB,medium,CPI (MoM)  (Apr),0.00%,,0.00%
6,241504,01/05/1992,10:00,russia,RUB,medium,CPI (YoY)  (Apr),930.00%,,"1,316.70%"
7,113646,01/06/1992,10:00,russia,RUB,medium,CPI (MoM)  (May),0.00%,,0.00%
8,241505,01/06/1992,10:00,russia,RUB,medium,CPI (YoY)  (May),954.50%,,930.00%
9,241506,01/07/1992,10:00,russia,RUB,medium,CPI (YoY)  (Jun),"1,154.50%",,954.50%
10,113647,01/07/1992,10:00,russia,RUB,medium,CPI (MoM)  (Jun),0.00%,,0.00%
11,113648,01/08/1992,10:00,russia,RUB,medium,CPI (MoM)  (Jul),100.00%,,0.00%
12,241507,01/08/1992,10:00,russia,RUB,medium,CPI (YoY)  (Jul),"1,281.80%",,"1,154.50%"
13,113649,01/09/1992,10:00,russia,RUB,medium,CPI (MoM)  (Aug),0.00%,,100.00%
14,241508,01/09/1992,10:00,russia,RUB,medium,CPI (YoY)  (Aug),"1,400.00%",,"1,281.80%"
15,113650,01/10/1992,10:00,russia,RUB,medium,CPI (MoM)  (Sep),0.00%,,0.00%
16,241509,01/10/1992,10:00,russia,RUB,medium,CPI (YoY)  (Sep),"1,572.70%",,"1,400.00%"
17,113651,01/11/1992,10:00,russia,RUB,medium,CPI (MoM)  (Oct),0.00%,,0.00%
18,241510,01/11/1992,10:00,russia,RUB,medium,CPI (YoY)  (Oct),"1,954.50%",,"1,572.70%"
19,134155,01/11/1992,10:00,russia,RUB,medium,Unemployment Rate  (Oct),4.80%,,
20,113652,01/12/1992,10:00,russia,RUB,medium,CPI (MoM)  (Nov),50.00%,,0.00%
21,241511,01/12/1992,10:00,russia,RUB,medium,CPI (YoY)  (Nov),"2,283.30%",,"1,954.50%"
22,134156,01/12/1992,10:00,russia,RUB,medium,Unemployment Rate  (Nov),4.80%,,4.80%
23,241512,01/01/1993,10:00,russia,RUB,medium,CPI (YoY)  (Dec),"2,457.10%",,"2,283.30%"
24,113653,01/01/1993,10:00,russia,RUB,medium,CPI (MoM)  (Dec),33.30%,,50.00%
25,134157,01/01/1993,10:00,russia,RUB,medium,Unemployment Rate  (Dec),4.80%,,4.80%
26,113654,01/02/1993,10:00,russia,RUB,medium,CPI (MoM)  (Jan),25.00%,,33.30%
27,241513,01/02/1993,10:00,russia,RUB,medium,CPI (YoY)  (Jan),857.40%,,"2,457.10%"
28,134158,01/02/1993,10:00,russia,RUB,medium,Unemployment Rate  (Jan),4.90%,,4.80%
29,113655,01/03/1993,10:00,russia,RUB,medium,CPI (MoM)  (Feb),20.00%,,25.00%
30,241514,01/03/1993,10:00,russia,RUB,medium,CPI (YoY)  (Feb),760.00%,,857.40%
31,134159,01/03/1993,10:00,russia,RUB,medium,Unemployment Rate  (Feb),5.10%,,4.90%
32,113656,01/04/1993,10:00,russia,RUB,medium,CPI (MoM)  (Mar),16.70%,,20.00%
33,241515,01/04/1993,10:00,russia,RUB,medium,CPI (YoY)  (Mar),692.90%,,760.00%
34,134160,01/04/1993,10:00,russia,RUB,medium,Unemployment Rate  (Mar),5.30%,,5.10%
35,241516,01/05/1993,10:00,russia,RUB,medium,CPI (YoY)  (Apr),676.70%,,692.90%
36,113657,01/05/1993,10:00,russia,RUB,medium,CPI (MoM)  (Apr),28.60%,,16.70%
37,134161,01/05/1993,10:00,russia,RUB,medium,Unemployment Rate  (Apr),5.40%,,5.30%
38,113658,01/06/1993,10:00,russia,RUB,medium,CPI (MoM)  (May),11.10%,,28.60%
39,241517,01/06/1993,10:00,russia,RUB,medium,CPI (YoY)  (May),712.10%,,676.70%
40,134162,01/06/1993,10:00,russia,RUB,medium,Unemployment Rate  (May),5.40%,,5.40%
41,113659,01/07/1993,10:00,russia,RUB,medium,CPI (MoM)  (Jun),20.00%,,11.10%
42,241518,01/07/1993,10:00,russia,RUB,medium,CPI (YoY)  (Jun),719.60%,,712.10%
43,134163,01/07/1993,10:00,russia,RUB,medium,Unemployment Rate  (Jun),5.20%,,5.40%
44,241519,01/08/1993,10:00,russia,RUB,medium,CPI (YoY)  (Jul),811.20%,,719.60%
45,113660,01/08/1993,10:00,russia,RUB,medium,CPI (MoM)  (Jul),25.00%,,20.00%
46,134164,01/08/1993,10:00,russia,RUB,medium,Unemployment Rate  (Jul),5.20%,,5.20%
47,113661,01/09/1993,10:00,russia,RUB,medium,CPI (MoM)  (Aug),26.70%,,25.00%
48,241520,01/09/1993,10:00,russia,RUB,medium,CPI (YoY)  (Aug),957.60%,,811.20%
49,134165,01/09/1993,10:00,russia,RUB,medium,Unemployment Rate  (Aug),5.20%,,5.20%
50,113662,01/10/1993,10:00,russia,RUB,medium,CPI (MoM)  (Sep),21.10%,,26.70%
51,241521,01/10/1993,10:00,russia,RUB,medium,CPI (YoY)  (Sep),"1,065.80%",,957.60%
52,134166,01/10/1993,10:00,russia,RUB,medium,Unemployment Rate  (Sep),5.30%,,5.20%
53,241522,01/11/1993,10:00,russia,RUB,medium,CPI (YoY)  (Oct),"1,035.00%",,"1,065.80%"
54,113663,01/11/1993,10:00,russia,RUB,medium,CPI (MoM)  (Oct),21.70%,,21.10%
55,134167,01/11/1993,10:00,russia,RUB,medium,Unemployment Rate  (Oct),5.30%,,5.30%
56,241523,01/12/1993,10:00,russia,RUB,medium,CPI (YoY)  (Nov),943.70%,,"1,035.00%"
57,113664,01/12/1993,10:00,russia,RUB,medium,CPI (MoM)  (Nov),14.30%,,21.70%
58,134168,01/12/1993,10:00,russia,RUB,medium,Unemployment Rate  (Nov),5.50%,,5.30%
59,113665,01/01/1994,10:00,russia,RUB,medium,CPI (MoM)  (Dec),12.50%,,14.30%
60,241524,01/01/1994,10:00,russia,RUB,medium,CPI (YoY)  (Dec),838.30%,,943.70%
61,134169,01/01/1994,10:00,russia,RUB,medium,Unemployment Rate  (Dec),5.70%,,5.50%
62,113666,01/02/1994,10:00,russia,RUB,medium,CPI (MoM)  (Jan),19.40%,,12.50%
63,241525,01/02/1994,10:00,russia,RUB,medium,CPI (YoY)  (Jan),780.00%,,838.30%
64,134170,01/02/1994,10:00,russia,RUB,medium,Unemployment Rate  (Jan),5.90%,,5.70%
65,113667,01/03/1994,10:00,russia,RUB,medium,CPI (MoM)  (Feb),11.60%,,19.40%
66,241526,01/03/1994,10:00,russia,RUB,medium,CPI (YoY)  (Feb),683.00%,,780.00%
67,134171,01/03/1994,10:00,russia,RUB,medium,Unemployment Rate  (Feb),6.30%,,5.90%
68,113668,01/04/1994,10:00,russia,RUB,medium,CPI (MoM)  (Mar),6.20%,,11.60%
69,241527,01/04/1994,10:00,russia,RUB,medium,CPI (YoY)  (Mar),596.40%,,683.00%
70,134172,01/04/1994,10:00,russia,RUB,medium,Unemployment Rate  (Mar),6.60%,,6.30%
71,241528,01/05/1994,10:00,russia,RUB,medium,CPI (YoY)  (Apr),538.40%,,596.40%
72,113669,01/05/1994,10:00,russia,RUB,medium,CPI (MoM)  (Apr),9.80%,,6.20%
73,134173,01/05/1994,10:00,russia,RUB,medium,Unemployment Rate  (Apr),7.00%,,6.60%
74,113670,01/06/1994,10:00,russia,RUB,medium,CPI (MoM)  (May),5.40%,,9.80%
75,241529,01/06/1994,10:00,russia,RUB,medium,CPI (YoY)  (May),478.70%,,538.40%
76,134174,01/06/1994,10:00,russia,RUB,medium,Unemployment Rate  (May),7.00%,,7.00%
77,241530,01/07/1994,10:00,russia,RUB,medium,CPI (YoY)  (Jun),412.10%,,478.70%
78,113671,01/07/1994,10:00,russia,RUB,medium,CPI (MoM)  (Jun),6.80%,,5.40%
79,134175,01/07/1994,10:00,russia,RUB,medium,Unemployment Rate  (Jun),7.00%,,7.00%
80,241531,01/08/1994,10:00,russia,RUB,medium,CPI (YoY)  (Jul),339.40%,,412.10%
81,113672,01/08/1994,10:00,russia,RUB,medium,CPI (MoM)  (Jul),4.80%,,6.80%
82,134176,01/08/1994,10:00,russia,RUB,medium,Unemployment Rate  (Jul),7.20%,,7.00%
83,113673,01/09/1994,10:00,russia,RUB,medium,CPI (MoM)  (Aug),4.50%,,4.80%
84,241532,01/09/1994,10:00,russia,RUB,medium,CPI (YoY)  (Aug),265.60%,,339.40%
85,134177,01/09/1994,10:00,russia,RUB,medium,Unemployment Rate  (Aug),7.30%,,7.20%
86,113674,01/10/1994,10:00,russia,RUB,medium,CPI (MoM)  (Sep),8.70%,,4.50%
87,241533,01/10/1994,10:00,russia,RUB,medium,CPI (YoY)  (Sep),221.40%,,265.60%
88,134178,01/10/1994,10:00,russia,RUB,medium,Unemployment Rate  (Sep),7.40%,,7.30%
89,113675,01/11/1994,10:00,russia,RUB,medium,CPI (MoM)  (Oct),14.70%,,8.70%
90,241534,01/11/1994,10:00,russia,RUB,medium,CPI (YoY)  (Oct),208.80%,,221.40%
91,134179,01/11/1994,10:00,russia,RUB,medium,Unemployment Rate  (Oct),7.50%,,7.40%
92,113676,01/12/1994,10:00,russia,RUB,medium,CPI (MoM)  (Nov),15.10%,,14.70%
93,241535,01/12/1994,10:00,russia,RUB,medium,CPI (YoY)  (Nov),203.80%,,208.80%
94,134180,01/12/1994,10:00,russia,RUB,medium,Unemployment Rate  (Nov),7.50%,,7.50%
95,241536,01/01/1995,10:00,russia,RUB,medium,CPI (YoY)  (Dec),214.30%,,203.80%
96,113677,01/01/1995,10:00,russia,RUB,medium,CPI (MoM)  (Dec),16.20%,,15.10%
97,134181,01/01/1995,10:00,russia,RUB,medium,Unemployment Rate  (Dec),7.50%,,7.50%
98,241537,01/02/1995,10:00,russia,RUB,medium,CPI (YoY)  (Jan),214.20%,,214.30%
99,113678,01/02/1995,10:00,russia,RUB,medium,CPI (MoM)  (Jan),17.40%,,16.20%
100,134182,01/02/1995,10:00,russia,RUB,medium,Unemployment Rate  (Jan),7.60%,,7.50%
101,241538,01/03/1995,10:00,russia,RUB,medium,CPI (YoY)  (Feb),215.60%,,214.20%
102,113679,01/03/1995,10:00,russia,RUB,medium,CPI (MoM)  (Feb),11.10%,,17.40%
103,134183,01/03/1995,10:00,russia,RUB,medium,Unemployment Rate  (Feb),7.90%,,7.60%
104,113680,01/04/1995,10:00,russia,RUB,medium,CPI (MoM)  (Mar),9.30%,,11.10%
105,241539,01/04/1995,10:00,russia,RUB,medium,CPI (YoY)  (Mar),220.80%,,215.60%
106,134184,01/04/1995,10:00,russia,RUB,medium,Unemployment Rate  (Mar),7.80%,,7.90%
107,241540,01/05/1995,10:00,russia,RUB,medium,CPI (YoY)  (Apr),219.70%,,220.80%
108,113681,01/05/1995,10:00,russia,RUB,medium,CPI (MoM)  (Apr),7.90%,,9.30%
109,134185,01/05/1995,10:00,russia,RUB,medium,Unemployment Rate  (Apr),8.00%,,7.80%
110,113682,01/06/1995,10:00,russia,RUB,medium,CPI (MoM)  (May),7.90%,,7.90%
111,241541,01/06/1995,10:00,russia,RUB,medium,CPI (YoY)  (May),223.30%,,219.70%
112,134186,01/06/1995,10:00,russia,RUB,medium,Unemployment Rate  (May),8.00%,,8.00%
113,241542,01/07/1995,10:00,russia,RUB,medium,CPI (YoY)  (Jun),224.50%,,223.30%
114,113683,01/07/1995,10:00,russia,RUB,medium,CPI (MoM)  (Jun),6.80%,,7.90%
115,134187,01/07/1995,10:00,russia,RUB,medium,Unemployment Rate  (Jun),8.10%,,8.00%
116,113684,01/08/1995,10:00,russia,RUB,medium,CPI (MoM)  (Jul),5.40%,,6.80%
117,241543,01/08/1995,10:00,russia,RUB,medium,CPI (YoY)  (Jul),225.30%,,224.50%
118,134188,01/08/1995,10:00,russia,RUB,medium,Unemployment Rate  (Jul),8.30%,,8.10%
119,241544,01/09/1995,10:00,russia,RUB,medium,CPI (YoY)  (Aug),224.50%,,225.30%
120,113685,01/09/1995,10:00,russia,RUB,medium,CPI (MoM)  (Aug),4.70%,,5.40%
121,134189,01/09/1995,10:00,russia,RUB,medium,Unemployment Rate  (Aug),8.50%,,8.30%
122,113686,01/10/1995,10:00,russia,RUB,medium,CPI (MoM)  (Sep),4.40%,,4.70%
123,241545,01/10/1995,10:00,russia,RUB,medium,CPI (YoY)  (Sep),213.80%,,224.50%
124,134190,01/10/1995,10:00,russia,RUB,medium,Unemployment Rate  (Sep),8.60%,,8.50%
125,113687,01/11/1995,10:00,russia,RUB,medium,CPI (MoM)  (Oct),4.70%,,4.40%
126,241546,01/11/1995,10:00,russia,RUB,medium,CPI (YoY)  (Oct),186.10%,,213.80%
127,134191,01/11/1995,10:00,russia,RUB,medium,Unemployment Rate  (Oct),8.80%,,8.60%
128,241547,01/12/1995,10:00,russia,RUB,medium,CPI (YoY)  (Nov),161.20%,,186.10%
129,113688,01/12/1995,10:00,russia,RUB,medium,CPI (MoM)  (Nov),4.90%,,4.70%
130,134192,01/12/1995,10:00,russia,RUB,medium,Unemployment Rate  (Nov),8.80%,,8.80%
131,113689,01/01/1996,10:00,russia,RUB,medium,CPI (MoM)  (Dec),3.10%,,4.90%
132,241548,01/01/1996,10:00,russia,RUB,medium,CPI (YoY)  (Dec),131.50%,,161.20%
133,134193,01/01/1996,10:00,russia,RUB,medium,Unemployment Rate  (Dec),8.80%,,8.80%
134,241549,01/02/1996,10:00,russia,RUB,medium,CPI (YoY)  (Jan),104.50%,,131.50%
135,113690,01/02/1996,10:00,russia,RUB,medium,CPI (MoM)  (Jan),4.10%,,3.10%
136,134194,01/02/1996,10:00,russia,RUB,medium,Unemployment Rate  (Jan),9.10%,,8.80%
137,113691,01/03/1996,10:00,russia,RUB,medium,CPI (MoM)  (Feb),2.90%,,4.10%
138,241550,01/03/1996,10:00,russia,RUB,medium,CPI (YoY)  (Feb),89.40%,,104.50%
139,134195,01/03/1996,10:00,russia,RUB,medium,Unemployment Rate  (Feb),9.20%,,9.10%
140,241551,01/04/1996,10:00,russia,RUB,medium,CPI (YoY)  (Mar),78.60%,,89.40%
141,113692,01/04/1996,10:00,russia,RUB,medium,CPI (MoM)  (Mar),2.80%,,2.90%
142,134196,01/04/1996,10:00,russia,RUB,medium,Unemployment Rate  (Mar),9.20%,,9.20%
143,241552,01/05/1996,10:00,russia,RUB,medium,CPI (YoY)  (Apr),68.30%,,78.60%
144,113693,01/05/1996,10:00,russia,RUB,medium,CPI (MoM)  (Apr),2.00%,,2.80%
145,134197,01/05/1996,10:00,russia,RUB,medium,Unemployment Rate  (Apr),9.50%,,9.20%
146,241553,01/06/1996,10:00,russia,RUB,medium,CPI (YoY)  (May),58.40%,,68.30%
147,113694,01/06/1996,10:00,russia,RUB,medium,CPI (MoM)  (May),1.70%,,2.00%
148,134198,01/06/1996,10:00,russia,RUB,medium,Unemployment Rate  (May),9.60%,,9.50%
149,241554,01/07/1996,10:00,russia,RUB,medium,CPI (YoY)  (Jun),50.20%,,58.40%
150,113695,01/07/1996,10:00,russia,RUB,medium,CPI (MoM)  (Jun),1.30%,,1.70%
151,134199,01/07/1996,10:00,russia,RUB,medium,Unemployment Rate  (Jun),9.60%,,9.60%
152,113696,01/08/1996,10:00,russia,RUB,medium,CPI (MoM)  (Jul),0.60%,,1.30%
