,id,date,time,zone,currency,importance,event,actual,forecast,previous
0,139189,01/01/1970,09:00,türkiye,TRY,low,Trade Balance  (Dec),0.00B,,
1,139190,01/02/1970,09:00,türkiye,TRY,low,Trade Balance  (Jan),-0.03B,,0.00B
2,139191,01/03/1970,09:00,türkiye,TRY,low,Trade Balance  (Feb),-0.03B,,-0.03B
3,139192,01/04/1970,09:00,türkiye,TRY,low,Trade Balance  (Mar),-0.03B,,-0.03B
4,139193,01/05/1970,09:00,türkiye,TRY,low,Trade Balance  (Apr),-0.05B,,-0.03B
5,139194,01/06/1970,09:00,türkiye,TRY,low,Trade Balance  (May),-0.06B,,-0.05B
6,139195,01/07/1970,09:00,türkiye,TRY,low,Trade Balance  (Jun),-0.07B,,-0.06B
7,139196,01/08/1970,09:00,türkiye,TRY,low,Trade Balance  (Jul),-0.08B,,-0.07B
8,139197,01/09/1970,09:00,türkiye,TRY,low,Trade Balance  (Aug),-0.01B,,-0.08B
9,139198,01/10/1970,09:00,türkiye,TRY,low,Trade Balance  (Sep),-0.01B,,-0.01B
10,139199,01/11/1970,09:00,türkiye,TRY,low,Trade Balance  (Oct),0.01B,,-0.01B
11,139200,01/12/1970,09:00,türkiye,TRY,low,Trade Balance  (Nov),0.00B,,0.01B
12,139201,01/01/1971,09:00,türkiye,TRY,low,Trade Balance  (Dec),-0.02B,,0.00B
13,139202,01/02/1971,09:00,türkiye,TRY,low,Trade Balance  (Jan),-0.04B,,-0.02B
14,139203,01/03/1971,09:00,türkiye,TRY,low,Trade Balance  (Feb),-0.03B,,-0.04B
15,139204,01/04/1971,09:00,türkiye,TRY,low,Trade Balance  (Mar),-0.04B,,-0.03B
16,139205,01/05/1971,09:00,türkiye,TRY,low,Trade Balance  (Apr),-0.07B,,-0.04B
17,139206,01/06/1971,09:00,türkiye,TRY,low,Trade Balance  (May),-0.07B,,-0.07B
18,139207,01/07/1971,09:00,türkiye,TRY,low,Trade Balance  (Jun),-0.09B,,-0.07B
19,139208,01/08/1971,09:00,türkiye,TRY,low,Trade Balance  (Jul),-0.09B,,-0.09B
20,139209,01/09/1971,09:00,türkiye,TRY,low,Trade Balance  (Aug),-0.04B,,-0.09B
21,139210,01/10/1971,09:00,türkiye,TRY,low,Trade Balance  (Sep),-0.05B,,-0.04B
